Date,Positive_Reviews,Negative_Reviews,Top_Tags
2013-04-01,334,5,Strategy|RTS|Medieval|Multiplayer|Classic
2013-05-01,105,1,Strategy|RTS|Medieval|Multiplayer|Classic
2013-06-01,61,3,Strategy|RTS|Medieval|Multiplayer|Classic
2013-07-01,122,3,Strategy|RTS|Medieval|Multiplayer|Classic
2013-08-01,67,1,Strategy|RTS|Medieval|Multiplayer|Classic
2013-09-01,41,0,Strategy|RTS|Medieval|Multiplayer|Classic
2013-10-01,27,1,Strategy|RTS|Medieval|Multiplayer|Classic
2013-11-01,165,6,Strategy|RTS|Medieval|Multiplayer|Classic
2013-12-01,1403,49,Strategy|RTS|Medieval|Multiplayer|Classic
2014-01-01,761,26,Strategy|RTS|Medieval|Multiplayer|Classic
2014-02-01,331,18,Strategy|RTS|Medieval|Multiplayer|Classic
2014-03-01,419,22,Strategy|RTS|Medieval|Multiplayer|Classic
2014-04-01,222,17,Strategy|RTS|Medieval|Multiplayer|Classic
2014-05-01,196,12,Strategy|RTS|Medieval|Multiplayer|Classic
2014-06-01,1119,71,Strategy|RTS|Medieval|Multiplayer|Classic
2014-07-01,564,55,Strategy|RTS|Medieval|Multiplayer|Classic
2014-08-01,426,23,Strategy|RTS|Medieval|Multiplayer|Classic
2014-09-01,369,23,Strategy|RTS|Medieval|Multiplayer|Classic
2014-10-01,232,10,Strategy|RTS|Medieval|Multiplayer|Classic
2014-11-01,336,21,Strategy|RTS|Medieval|Multiplayer|Classic
2014-12-01,697,54,Strategy|RTS|Medieval|Multiplayer|Classic
2015-01-01,608,35,Strategy|RTS|Medieval|Multiplayer|Classic
2015-02-01,273,23,Strategy|RTS|Medieval|Multiplayer|Classic
2015-03-01,238,9,Strategy|RTS|Medieval|Multiplayer|Classic
2015-04-01,237,14,Strategy|RTS|Medieval|Multiplayer|Classic
2015-05-01,243,19,Strategy|RTS|Medieval|Multiplayer|Classic
2015-06-01,790,64,Strategy|RTS|Medieval|Multiplayer|Classic
2015-07-01,347,23,Strategy|RTS|Medieval|Multiplayer|Classic
2015-08-01,259,22,Strategy|RTS|Medieval|Multiplayer|Classic
2015-09-01,259,16,Strategy|RTS|Medieval|Multiplayer|Classic
2015-10-01,246,14,Strategy|RTS|Medieval|Multiplayer|Classic
2015-11-01,1284,137,Strategy|RTS|Medieval|Multiplayer|Classic
2015-12-01,919,84,Strategy|RTS|Medieval|Multiplayer|Classic
2016-01-01,782,63,Strategy|RTS|Medieval|Multiplayer|Classic
2016-02-01,544,47,Strategy|RTS|Medieval|Multiplayer|Classic
2016-03-01,350,39,Strategy|RTS|Medieval|Multiplayer|Classic
2016-04-01,261,30,Strategy|RTS|Medieval|Multiplayer|Classic
2016-05-01,291,32,Strategy|RTS|Medieval|Multiplayer|Classic
2016-06-01,605,62,Strategy|RTS|Medieval|Multiplayer|Classic
2016-07-01,772,68,Strategy|RTS|Medieval|Multiplayer|Classic
2016-08-01,358,24,Strategy|RTS|Medieval|Multiplayer|Classic
2016-09-01,269,21,Strategy|RTS|Medieval|Multiplayer|Classic
2016-10-01,304,23,Strategy|RTS|Medieval|Multiplayer|Classic
2016-11-01,3567,49,Strategy|RTS|Medieval|Multiplayer|Classic
2016-12-01,1234,100,Strategy|RTS|Medieval|Multiplayer|Classic
2017-01-01,882,81,Strategy|RTS|Medieval|Multiplayer|Classic
2017-02-01,668,46,Strategy|RTS|Medieval|Multiplayer|Classic
2017-03-01,416,42,Strategy|RTS|Medieval|Multiplayer|Classic
2017-04-01,366,20,Strategy|RTS|Medieval|Multiplayer|Classic
2017-05-01,381,18,Strategy|RTS|Medieval|Multiplayer|Classic
2017-06-01,834,46,Strategy|RTS|Medieval|Multiplayer|Classic
2017-07-01,836,46,Strategy|RTS|Medieval|Multiplayer|Classic
2017-08-01,465,24,Strategy|RTS|Medieval|Multiplayer|Classic
2017-09-01,413,20,Strategy|RTS|Medieval|Multiplayer|Classic
2017-10-01,398,25,Strategy|RTS|Medieval|Multiplayer|Classic
2017-11-01,2701,53,Strategy|RTS|Medieval|Multiplayer|Classic
2017-12-01,917,49,Strategy|RTS|Medieval|Multiplayer|Classic
2018-01-01,819,47,Strategy|RTS|Medieval|Multiplayer|Classic
