Date,Price
2014-11-27,565.0
2014-11-29,565.0
2014-12-02,565.0
2014-12-18,565.0
2014-12-28,565.0
2014-12-30,565.0
2014-12-31,565.0
2015-01-02,565.0
2015-05-27,565.0
2015-06-11,565.0
2015-06-19,565.0
2015-06-22,565.0
2015-11-05,565.0
2015-11-05,565.0
2015-11-09,565.0
2015-11-25,565.0
2015-12-01,565.0
2015-12-22,565.0
2016-01-04,565.0
2016-02-05,565.0
2016-02-12,565.0
2016-06-23,565.0
2016-07-04,565.0
2016-11-23,565.0
2016-11-29,565.0
2016-12-22,565.0
2017-01-02,565.0
2017-02-17,565.0
2017-02-20,565.0
2017-06-22,565.0
2017-07-05,565.0
2017-11-22,565.0
2017-11-28,565.0
2017-12-07,565.0
2017-12-09,565.0
2017-12-21,565.0
2018-01-04,565.0
2018-02-15,565.0
2018-02-19,565.0
2018-04-24,565.0
2018-04-26,565.0
2018-06-21,565.0
2018-07-05,565.0
2018-11-21,565.0
2018-11-27,565.0
2018-12-20,565.0
2019-01-03,565.0
2019-02-04,565.0
2019-02-11,565.0
2019-06-06,565.0
2019-06-08,565.0
2019-06-25,565.0
2019-07-09,565.0
2021-02-03,565.0
2021-02-09,565.0
