Date,Positive_Reviews,Negative_Reviews,Top_Tags
2020-11-01,75745,4628,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2020-12-01,18016,1698,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2021-01-01,16828,1992,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2021-02-01,24110,3104,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2021-03-01,24107,3552,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2021-04-01,19711,2609,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2021-05-01,30573,3983,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2021-06-01,16811,2834,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2021-07-01,15870,4764,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2021-08-01,22639,4386,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2021-09-01,16013,6724,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2021-10-01,11708,4882,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2021-11-01,20358,2723,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2021-12-01,11852,2177,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2022-01-01,13395,2492,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2022-02-01,21441,3489,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2022-03-01,19988,3526,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2022-04-01,12781,2384,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2022-05-01,15557,3271,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2022-06-01,12807,3293,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2022-07-01,10496,2969,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2022-08-01,14583,3618,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2022-09-01,10933,2801,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2022-10-01,7513,2491,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2022-11-01,12384,3726,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2022-12-01,14366,7167,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2023-01-01,16003,8491,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2023-02-01,17429,7340,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2023-03-01,15609,6332,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2023-04-01,11376,5647,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2023-05-01,11752,7641,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2023-06-01,11276,6448,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2023-07-01,10801,4760,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
2023-08-01,13048,8535,Free to Play|Battle Royale|Multiplayer|FPS|Shooter
