Date,Positive_Reviews,Negative_Reviews,Top_Tags
2014-08-01,0,0,Simulation|Driving|Physics|Realistic|Destruction
2014-09-01,0,0,Simulation|Driving|Physics|Realistic|Destruction
2015-05-01,38,8,Simulation|Driving|Physics|Realistic|Destruction
2015-06-01,246,42,Simulation|Driving|Physics|Realistic|Destruction
2015-07-01,94,23,Simulation|Driving|Physics|Realistic|Destruction
2015-08-01,121,21,Simulation|Driving|Physics|Realistic|Destruction
2015-09-01,116,24,Simulation|Driving|Physics|Realistic|Destruction
2015-10-01,105,19,Simulation|Driving|Physics|Realistic|Destruction
2015-11-01,126,23,Simulation|Driving|Physics|Realistic|Destruction
2015-12-01,193,36,Simulation|Driving|Physics|Realistic|Destruction
2016-01-01,219,41,Simulation|Driving|Physics|Realistic|Destruction
2016-02-01,213,15,Simulation|Driving|Physics|Realistic|Destruction
2016-03-01,194,24,Simulation|Driving|Physics|Realistic|Destruction
2016-04-01,156,20,Simulation|Driving|Physics|Realistic|Destruction
2016-05-01,162,22,Simulation|Driving|Physics|Realistic|Destruction
2016-06-01,178,10,Simulation|Driving|Physics|Realistic|Destruction
2016-07-01,183,20,Simulation|Driving|Physics|Realistic|Destruction
2016-08-01,167,12,Simulation|Driving|Physics|Realistic|Destruction
2016-09-01,123,10,Simulation|Driving|Physics|Realistic|Destruction
2016-10-01,153,12,Simulation|Driving|Physics|Realistic|Destruction
2016-11-01,362,19,Simulation|Driving|Physics|Realistic|Destruction
2016-12-01,212,26,Simulation|Driving|Physics|Realistic|Destruction
2017-01-01,252,29,Simulation|Driving|Physics|Realistic|Destruction
2017-02-01,186,8,Simulation|Driving|Physics|Realistic|Destruction
2017-03-01,159,15,Simulation|Driving|Physics|Realistic|Destruction
2017-04-01,256,25,Simulation|Driving|Physics|Realistic|Destruction
2017-05-01,205,21,Simulation|Driving|Physics|Realistic|Destruction
2017-06-01,299,42,Simulation|Driving|Physics|Realistic|Destruction
2017-07-01,270,31,Simulation|Driving|Physics|Realistic|Destruction
2017-08-01,302,27,Simulation|Driving|Physics|Realistic|Destruction
2017-09-01,228,30,Simulation|Driving|Physics|Realistic|Destruction
2017-10-01,221,18,Simulation|Driving|Physics|Realistic|Destruction
