Date,Positive_Reviews,Negative_Reviews,Top_Tags
2015-03-01,5103,199,City Builder|Simulation|Building|Management|Strategy
2015-04-01,1354,81,City Builder|Simulation|Building|Management|Strategy
2015-05-01,905,54,City Builder|Simulation|Building|Management|Strategy
2015-06-01,927,82,City Builder|Simulation|Building|Management|Strategy
2015-07-01,477,43,City Builder|Simulation|Building|Management|Strategy
2015-08-01,496,50,City Builder|Simulation|Building|Management|Strategy
2015-09-01,647,36,City Builder|Simulation|Building|Management|Strategy
2015-10-01,681,49,City Builder|Simulation|Building|Management|Strategy
2015-11-01,589,38,City Builder|Simulation|Building|Management|Strategy
2015-12-01,707,72,City Builder|Simulation|Building|Management|Strategy
2016-01-01,907,53,City Builder|Simulation|Building|Management|Strategy
2016-02-01,1280,105,City Builder|Simulation|Building|Management|Strategy
2016-03-01,634,41,City Builder|Simulation|Building|Management|Strategy
2016-04-01,399,31,City Builder|Simulation|Building|Management|Strategy
2016-05-01,383,36,City Builder|Simulation|Building|Management|Strategy
2016-06-01,886,92,City Builder|Simulation|Building|Management|Strategy
2016-07-01,525,49,City Builder|Simulation|Building|Management|Strategy
2016-08-01,417,34,City Builder|Simulation|Building|Management|Strategy
2016-09-01,833,66,City Builder|Simulation|Building|Management|Strategy
2016-10-01,578,66,City Builder|Simulation|Building|Management|Strategy
2016-11-01,2807,97,City Builder|Simulation|Building|Management|Strategy
2016-12-01,1325,142,City Builder|Simulation|Building|Management|Strategy
2017-01-01,726,75,City Builder|Simulation|Building|Management|Strategy
2017-02-01,822,93,City Builder|Simulation|Building|Management|Strategy
2017-03-01,485,45,City Builder|Simulation|Building|Management|Strategy
2017-04-01,633,65,City Builder|Simulation|Building|Management|Strategy
2017-05-01,985,110,City Builder|Simulation|Building|Management|Strategy
2017-06-01,1003,157,City Builder|Simulation|Building|Management|Strategy
2017-07-01,859,102,City Builder|Simulation|Building|Management|Strategy
2017-08-01,1138,148,City Builder|Simulation|Building|Management|Strategy
2017-09-01,574,61,City Builder|Simulation|Building|Management|Strategy
2017-10-01,1018,148,City Builder|Simulation|Building|Management|Strategy
2017-11-01,2807,97,City Builder|Simulation|Building|Management|Strategy
2017-12-01,1161,112,City Builder|Simulation|Building|Management|Strategy
2018-01-01,775,85,City Builder|Simulation|Building|Management|Strategy
2018-02-01,1009,103,City Builder|Simulation|Building|Management|Strategy
2018-03-01,555,54,City Builder|Simulation|Building|Management|Strategy
2018-04-01,394,61,City Builder|Simulation|Building|Management|Strategy
2018-05-01,821,131,City Builder|Simulation|Building|Management|Strategy
2018-06-01,725,77,City Builder|Simulation|Building|Management|Strategy
2018-07-01,587,73,City Builder|Simulation|Building|Management|Strategy
2018-08-01,439,71,City Builder|Simulation|Building|Management|Strategy
2018-09-01,612,103,City Builder|Simulation|Building|Management|Strategy
2018-10-01,830,117,City Builder|Simulation|Building|Management|Strategy
2018-11-01,2891,105,City Builder|Simulation|Building|Management|Strategy
2018-12-01,694,90,City Builder|Simulation|Building|Management|Strategy
2019-01-01,588,74,City Builder|Simulation|Building|Management|Strategy
