Date,Price
2015-02-10,1859.0
2015-03-31,1859.0
2015-06-11,1859.0
2015-06-13,1859.0
2015-06-15,1859.0
2015-06-20,1859.0
2015-06-22,1859.0
2015-07-30,1859.0
2015-08-03,1859.0
2015-10-01,1859.0
2015-10-05,1859.0
2015-10-29,1859.0
2015-11-02,1859.0
2015-11-06,1859.0
2015-11-06,1859.0
2015-11-06,1859.0
2015-11-10,1859.0
2015-11-12,1859.0
2015-11-25,1859.0
2015-12-01,1859.0
2015-12-22,1859.0
2016-01-04,1859.0
2016-02-05,1859.0
2016-02-12,1859.0
2016-02-18,1859.0
2016-02-22,1859.0
2016-06-02,1859.0
2016-06-06,1859.0
2016-06-23,1859.0
2016-07-04,1859.0
2016-09-01,1859.0
2016-09-05,1859.0
2016-09-29,1859.0
2016-10-03,1859.0
2016-10-28,1859.0
2016-11-02,1859.0
2016-11-23,1859.0
2016-12-02,1859.0
2016-12-22,1859.0
2017-01-02,1859.0
2017-02-07,1859.0
2017-02-10,1859.0
2017-04-07,1859.0
2017-04-10,1859.0
2017-05-18,1859.0
2017-05-22,1859.0
2017-06-22,1859.0
2017-07-05,1859.0
2017-08-17,1859.0
2017-08-21,1859.0
2017-10-19,1859.0
2017-10-26,1859.0
2017-10-26,1859.0
2017-10-26,1859.0
2017-11-01,1859.0
2017-11-22,1859.0
2017-11-28,1859.0
2017-12-05,1859.0
2017-12-08,1859.0
2017-12-21,1859.0
2018-01-04,1859.0
2018-02-06,1859.0
2018-02-12,1859.0
2018-02-15,1859.0
2018-02-19,1859.0
2018-05-24,1859.0
2018-05-28,1859.0
2018-06-21,1859.0
2018-07-05,1859.0
2018-09-06,1859.0
2018-09-10,1859.0
2018-10-23,1859.0
2018-11-01,1859.0
2018-11-21,1859.0
2018-11-27,1859.0
2018-12-20,1859.0
2019-01-03,1859.0
2019-02-04,1859.0
2019-02-11,1859.0
2019-03-21,1859.0
2019-03-25,1859.0
2019-05-21,1859.0
2019-05-24,1859.0
2019-06-25,1859.0
2019-07-09,1859.0
2019-10-17,1859.0
2019-10-21,1859.0
2019-11-07,1859.0
2019-11-11,1859.0
2019-11-26,1859.0
2019-12-03,1859.0
2019-12-19,1859.0
2020-01-02,1859.0
2020-01-23,1859.0
2020-01-27,1859.0
2020-03-26,1859.0
2020-04-03,1859.0
2020-05-14,1859.0
2020-05-18,1859.0
2020-06-25,1859.0
2020-07-09,1859.0
2020-11-03,1859.0
2020-11-10,1859.0
2020-11-25,1859.0
2020-12-01,1859.0
2020-12-22,1859.0
2021-01-05,1859.0
2021-02-09,1859.0
