Date,Positive_Reviews,Negative_Reviews,Top_Tags
2024-04-01,10676,880,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2024-05-01,7996,453,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2024-06-01,4978,345,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2024-07-01,4546,310,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2024-08-01,3270,205,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2024-09-01,2267,178,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2024-10-01,1849,130,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2024-11-01,5425,152,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2024-12-01,4556,225,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2025-01-01,2933,175,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2025-02-01,2627,162,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2025-03-01,2282,212,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2025-04-01,1313,128,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2025-05-01,1069,106,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2025-06-01,997,128,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2025-07-01,1045,110,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2025-08-01,1019,100,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2025-09-01,641,71,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2025-10-01,813,117,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2025-11-01,946,138,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2025-12-01,946,157,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2026-01-01,1073,162,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2026-02-01,857,80,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2026-03-01,973,97,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2026-04-01,1390,166,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
2026-05-01,754,83,Horror|Online Co-Op|Procedural Generation|Exploration|Action Roguelike
