Date,Positive_Reviews,Negative_Reviews,Top_Tags
2012-05-01,1,0,FPS|Shooter|Multiplayer|Competitive|Action
2012-08-01,1630,208,FPS|Shooter|Multiplayer|Competitive|Action
2012-09-01,1003,88,FPS|Shooter|Multiplayer|Competitive|Action
2012-10-01,511,59,FPS|Shooter|Multiplayer|Competitive|Action
2012-11-01,591,62,FPS|Shooter|Multiplayer|Competitive|Action
2012-12-01,867,93,FPS|Shooter|Multiplayer|Competitive|Action
2013-01-01,690,78,FPS|Shooter|Multiplayer|Competitive|Action
2013-02-01,598,68,FPS|Shooter|Multiplayer|Competitive|Action
2013-03-01,529,55,FPS|Shooter|Multiplayer|Competitive|Action
2013-04-01,495,53,FPS|Shooter|Multiplayer|Competitive|Action
2013-05-01,1003,128,FPS|Shooter|Multiplayer|Competitive|Action
2013-06-01,776,91,FPS|Shooter|Multiplayer|Competitive|Action
2013-07-01,929,95,FPS|Shooter|Multiplayer|Competitive|Action
2013-08-01,728,97,FPS|Shooter|Multiplayer|Competitive|Action
2013-09-01,827,100,FPS|Shooter|Multiplayer|Competitive|Action
2013-10-01,931,100,FPS|Shooter|Multiplayer|Competitive|Action
2013-11-01,3496,228,FPS|Shooter|Multiplayer|Competitive|Action
2013-12-01,18983,1008,FPS|Shooter|Multiplayer|Competitive|Action
2014-01-01,15735,843,FPS|Shooter|Multiplayer|Competitive|Action
2014-02-01,11181,628,FPS|Shooter|Multiplayer|Competitive|Action
2014-03-01,13930,885,FPS|Shooter|Multiplayer|Competitive|Action
2014-04-01,11987,650,FPS|Shooter|Multiplayer|Competitive|Action
2014-05-01,12406,741,FPS|Shooter|Multiplayer|Competitive|Action
2014-06-01,24742,1242,FPS|Shooter|Multiplayer|Competitive|Action
2014-07-01,20171,1319,FPS|Shooter|Multiplayer|Competitive|Action
2014-08-01,21564,1252,FPS|Shooter|Multiplayer|Competitive|Action
2014-09-01,18259,1224,FPS|Shooter|Multiplayer|Competitive|Action
2014-10-01,16945,1214,FPS|Shooter|Multiplayer|Competitive|Action
2014-11-01,20940,1658,FPS|Shooter|Multiplayer|Competitive|Action
2014-12-01,30837,2229,FPS|Shooter|Multiplayer|Competitive|Action
2015-01-01,34941,2436,FPS|Shooter|Multiplayer|Competitive|Action
2015-02-01,28898,2084,FPS|Shooter|Multiplayer|Competitive|Action
2015-03-01,36869,2666,FPS|Shooter|Multiplayer|Competitive|Action
2015-04-01,37328,2831,FPS|Shooter|Multiplayer|Competitive|Action
2015-05-01,42027,3114,FPS|Shooter|Multiplayer|Competitive|Action
2015-06-01,51772,4532,FPS|Shooter|Multiplayer|Competitive|Action
2015-07-01,39299,3378,FPS|Shooter|Multiplayer|Competitive|Action
2015-08-01,42101,3691,FPS|Shooter|Multiplayer|Competitive|Action
2015-09-01,38546,3531,FPS|Shooter|Multiplayer|Competitive|Action
2015-10-01,42958,3825,FPS|Shooter|Multiplayer|Competitive|Action
2015-11-01,47536,4395,FPS|Shooter|Multiplayer|Competitive|Action
2015-12-01,63369,8518,FPS|Shooter|Multiplayer|Competitive|Action
2016-01-01,59292,7904,FPS|Shooter|Multiplayer|Competitive|Action
2016-02-01,55607,6095,FPS|Shooter|Multiplayer|Competitive|Action
2016-03-01,51267,5181,FPS|Shooter|Multiplayer|Competitive|Action
2016-04-01,47222,4728,FPS|Shooter|Multiplayer|Competitive|Action
2016-05-01,42784,4596,FPS|Shooter|Multiplayer|Competitive|Action
2016-06-01,46101,5721,FPS|Shooter|Multiplayer|Competitive|Action
2016-07-01,43257,5598,FPS|Shooter|Multiplayer|Competitive|Action
2016-08-01,36129,5453,FPS|Shooter|Multiplayer|Competitive|Action
2016-09-01,30699,4943,FPS|Shooter|Multiplayer|Competitive|Action
2016-10-01,31139,5365,FPS|Shooter|Multiplayer|Competitive|Action
2016-11-01,119996,13183,FPS|Shooter|Multiplayer|Competitive|Action
2016-12-01,48938,7279,FPS|Shooter|Multiplayer|Competitive|Action
2017-01-01,49265,7500,FPS|Shooter|Multiplayer|Competitive|Action
2017-02-01,44226,7229,FPS|Shooter|Multiplayer|Competitive|Action
2017-03-01,45310,6540,FPS|Shooter|Multiplayer|Competitive|Action
2017-04-01,45248,6081,FPS|Shooter|Multiplayer|Competitive|Action
2017-05-01,42320,5998,FPS|Shooter|Multiplayer|Competitive|Action
2017-06-01,51702,7767,FPS|Shooter|Multiplayer|Competitive|Action
2017-07-01,49776,7976,FPS|Shooter|Multiplayer|Competitive|Action
2017-08-01,41377,8539,FPS|Shooter|Multiplayer|Competitive|Action
2017-09-01,38971,7819,FPS|Shooter|Multiplayer|Competitive|Action
2017-10-01,40456,8508,FPS|Shooter|Multiplayer|Competitive|Action
2017-11-01,90715,13673,FPS|Shooter|Multiplayer|Competitive|Action
2017-12-01,45971,7814,FPS|Shooter|Multiplayer|Competitive|Action
2018-01-01,47300,8666,FPS|Shooter|Multiplayer|Competitive|Action
2018-02-01,39603,7380,FPS|Shooter|Multiplayer|Competitive|Action
2018-03-01,38423,8927,FPS|Shooter|Multiplayer|Competitive|Action
2018-04-01,26395,7531,FPS|Shooter|Multiplayer|Competitive|Action
2018-05-01,25846,6321,FPS|Shooter|Multiplayer|Competitive|Action
2018-06-01,31037,6884,FPS|Shooter|Multiplayer|Competitive|Action
2018-07-01,29220,6299,FPS|Shooter|Multiplayer|Competitive|Action
2018-08-01,29830,6292,FPS|Shooter|Multiplayer|Competitive|Action
2018-09-01,26312,4878,FPS|Shooter|Multiplayer|Competitive|Action
2018-10-01,25296,4299,FPS|Shooter|Multiplayer|Competitive|Action
2018-11-01,68588,8995,FPS|Shooter|Multiplayer|Competitive|Action
2018-12-01,49885,35043,FPS|Shooter|Multiplayer|Competitive|Action
2019-01-01,35082,8871,FPS|Shooter|Multiplayer|Competitive|Action
2019-02-01,34192,5963,FPS|Shooter|Multiplayer|Competitive|Action
2019-03-01,35272,5236,FPS|Shooter|Multiplayer|Competitive|Action
2019-04-01,29803,4616,FPS|Shooter|Multiplayer|Competitive|Action
2019-05-01,28130,4467,FPS|Shooter|Multiplayer|Competitive|Action
2019-06-01,72414,9413,FPS|Shooter|Multiplayer|Competitive|Action
2019-07-01,90065,10184,FPS|Shooter|Multiplayer|Competitive|Action
2019-08-01,28408,4152,FPS|Shooter|Multiplayer|Competitive|Action
2019-09-01,27057,3568,FPS|Shooter|Multiplayer|Competitive|Action
2019-10-01,52944,5789,FPS|Shooter|Multiplayer|Competitive|Action
2019-11-01,200311,22686,FPS|Shooter|Multiplayer|Competitive|Action
2019-12-01,123114,14973,FPS|Shooter|Multiplayer|Competitive|Action
