Date,Price
2017-09-01,565.0
2017-12-07,565.0
2017-12-09,565.0
2017-12-21,565.0
2018-01-04,565.0
2018-02-15,565.0
2018-02-19,565.0
2018-03-20,565.0
2018-03-22,565.0
2018-04-12,565.0
2018-04-16,565.0
2018-06-21,565.0
2018-07-05,565.0
2018-08-09,565.0
2018-08-11,565.0
2018-10-19,565.0
2018-10-22,565.0
2018-11-21,565.0
2018-11-27,565.0
2018-12-20,565.0
2019-01-03,565.0
2019-02-04,565.0
2019-02-11,565.0
2019-06-11,565.0
2019-06-18,565.0
2019-06-25,565.0
2019-07-09,565.0
2019-09-29,565.0
2019-10-06,565.0
2019-11-21,565.0
2019-12-03,565.0
2019-12-19,565.0
2020-01-02,565.0
2020-01-23,565.0
2020-01-27,565.0
2020-06-25,565.0
2020-07-09,565.0
2020-11-25,565.0
2020-12-01,565.0
2020-12-09,565.0
2020-12-14,565.0
2020-12-22,565.0
2021-01-05,565.0
2021-02-03,565.0
2021-02-09,565.0
