Date,Positive_Reviews,Negative_Reviews,Top_Tags
2017-09-01,2361,51,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2017-10-01,9591,385,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2017-11-01,7557,116,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2017-12-01,2339,145,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2018-01-01,1639,128,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2018-02-01,738,46,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2018-03-01,579,33,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2018-04-01,469,21,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2018-05-01,405,24,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2018-06-01,573,54,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2018-07-01,529,27,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2018-08-01,410,33,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2018-09-01,241,28,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2018-10-01,338,21,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2018-11-01,1826,30,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2018-12-01,388,25,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2019-01-01,365,26,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2019-02-01,350,18,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2019-03-01,255,19,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2019-04-01,374,24,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2019-05-01,298,23,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2019-06-01,1029,29,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2019-07-01,1081,29,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2019-08-01,227,15,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2019-09-01,212,16,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2019-10-01,412,23,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2019-11-01,2231,46,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
2019-12-01,1986,58,Difficult|Cartoon|Co-op|Platformer|Local Co-Op
