Date,Positive_Reviews,Negative_Reviews,Top_Tags
2020-12-01,227472,63333,General
2021-01-01,30673,9881,General
2021-02-01,7848,3481,General
2021-03-01,5513,3805,General
2021-04-01,5177,2442,General
2021-05-01,3936,2043,General
2021-06-01,3444,2048,General
2021-07-01,3559,1583,General
2021-08-01,3713,1833,General
2021-09-01,3439,1308,General
2021-10-01,2537,941,General
2021-11-01,22124,4306,General
2021-12-01,8281,2956,General
2022-01-01,5386,1620,General
2022-02-01,7466,2410,General
2022-03-01,5293,5142,General
2022-04-01,3155,687,General
2022-05-01,3109,545,General
2022-06-01,2832,655,General
2022-07-01,3356,649,General
2022-08-01,3206,553,General
2022-09-01,13058,1955,General
2022-10-01,12220,1406,General
2022-11-01,14795,1214,General
2022-12-01,9982,1158,General
2023-01-01,10445,1612,General
2023-02-01,4942,904,General
2023-03-01,4659,652,General
2023-04-01,5627,1431,General
2023-05-01,3622,559,General
2023-06-01,5250,1040,General
2023-07-01,6616,848,General
2023-08-01,6129,712,General
2023-09-01,15504,2438,General
2023-10-01,19547,2195,General
2023-11-01,9705,841,General
2023-12-01,14012,1322,General
2024-01-01,10317,780,General
2024-02-01,8055,719,General
2024-03-01,7616,611,General
2024-04-01,6628,464,General
2024-05-01,8090,487,General
2024-06-01,5984,342,General
2024-07-01,7733,861,General
2024-08-01,6835,456,General
2024-09-01,7242,467,General
2024-10-01,6435,343,General
2024-11-01,7333,417,General
2024-12-01,12369,758,General
2025-01-01,11997,628,General
2025-02-01,8082,377,General
2025-03-01,8862,489,General
2025-04-01,6308,295,General
2025-05-01,7419,500,General
2025-06-01,7342,408,General
2025-07-01,12930,787,General
2025-08-01,11867,799,General
2025-09-01,7961,531,General
2025-10-01,8210,503,General
2025-11-01,6003,367,General
2025-12-01,11035,672,General
2026-01-01,9483,602,General
2026-02-01,6285,366,General
2026-03-01,7041,407,General
2026-04-01,6805,388,General
2026-05-01,4512,256,General
