Date,Positive_Reviews,Negative_Reviews,Top_Tags
2022-10-01,685,36,Pixel Graphics|Casual|Management|Adventure|Relaxing
2022-11-01,4320,95,Pixel Graphics|Casual|Management|Adventure|Relaxing
2022-12-01,1327,41,Pixel Graphics|Casual|Management|Adventure|Relaxing
2023-01-01,1103,31,Pixel Graphics|Casual|Management|Adventure|Relaxing
2023-02-01,592,7,Pixel Graphics|Casual|Management|Adventure|Relaxing
2023-03-01,1734,62,Pixel Graphics|Casual|Management|Adventure|Relaxing
2023-04-01,859,32,Pixel Graphics|Casual|Management|Adventure|Relaxing
2023-05-01,525,12,Pixel Graphics|Casual|Management|Adventure|Relaxing
2023-06-01,2434,96,Pixel Graphics|Casual|Management|Adventure|Relaxing
2023-07-01,29543,1058,Pixel Graphics|Casual|Management|Adventure|Relaxing
2023-08-01,6234,232,Pixel Graphics|Casual|Management|Adventure|Relaxing
2023-09-01,2743,105,Pixel Graphics|Casual|Management|Adventure|Relaxing
2023-10-01,2155,74,Pixel Graphics|Casual|Management|Adventure|Relaxing
2023-11-01,18438,142,Pixel Graphics|Casual|Management|Adventure|Relaxing
2023-12-01,5595,227,Pixel Graphics|Casual|Management|Adventure|Relaxing
2024-01-01,4749,195,Pixel Graphics|Casual|Management|Adventure|Relaxing
2024-02-01,1679,66,Pixel Graphics|Casual|Management|Adventure|Relaxing
2024-03-01,2541,114,Pixel Graphics|Casual|Management|Adventure|Relaxing
2024-04-01,1562,87,Pixel Graphics|Casual|Management|Adventure|Relaxing
2024-05-01,2371,86,Pixel Graphics|Casual|Management|Adventure|Relaxing
2024-06-01,3396,140,Pixel Graphics|Casual|Management|Adventure|Relaxing
2024-07-01,3770,193,Pixel Graphics|Casual|Management|Adventure|Relaxing
2024-08-01,1482,70,Pixel Graphics|Casual|Management|Adventure|Relaxing
2024-09-01,1620,93,Pixel Graphics|Casual|Management|Adventure|Relaxing
2024-10-01,1498,87,Pixel Graphics|Casual|Management|Adventure|Relaxing
2024-11-01,2877,76,Pixel Graphics|Casual|Management|Adventure|Relaxing
2024-12-01,2445,78,Pixel Graphics|Casual|Management|Adventure|Relaxing
2025-01-01,1601,74,Pixel Graphics|Casual|Management|Adventure|Relaxing
2025-02-01,914,44,Pixel Graphics|Casual|Management|Adventure|Relaxing
2025-03-01,1458,65,Pixel Graphics|Casual|Management|Adventure|Relaxing
2025-04-01,1945,206,Pixel Graphics|Casual|Management|Adventure|Relaxing
2025-05-01,1024,61,Pixel Graphics|Casual|Management|Adventure|Relaxing
2025-06-01,1870,111,Pixel Graphics|Casual|Management|Adventure|Relaxing
2025-07-01,2154,134,Pixel Graphics|Casual|Management|Adventure|Relaxing
2025-08-01,1061,61,Pixel Graphics|Casual|Management|Adventure|Relaxing
2025-09-01,742,38,Pixel Graphics|Casual|Management|Adventure|Relaxing
2025-10-01,1140,60,Pixel Graphics|Casual|Management|Adventure|Relaxing
2025-11-01,2171,50,Pixel Graphics|Casual|Management|Adventure|Relaxing
2025-12-01,1722,97,Pixel Graphics|Casual|Management|Adventure|Relaxing
2026-01-01,1527,114,Pixel Graphics|Casual|Management|Adventure|Relaxing
2026-02-01,1158,70,Pixel Graphics|Casual|Management|Adventure|Relaxing
2026-03-01,1245,72,Pixel Graphics|Casual|Management|Adventure|Relaxing
2026-04-01,925,64,Pixel Graphics|Casual|Management|Adventure|Relaxing
2026-05-01,723,40,Pixel Graphics|Casual|Management|Adventure|Relaxing
