Date,Positive_Reviews,Negative_Reviews,Top_Tags
2017-05-01,3185,149,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2017-06-01,1859,49,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2017-07-01,1407,85,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2017-08-01,501,29,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2017-09-01,510,20,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2017-10-01,254,12,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2017-11-01,1896,51,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2017-12-01,616,40,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2018-01-01,841,41,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2018-02-01,322,10,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2018-03-01,641,26,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2018-04-01,248,18,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2018-05-01,337,26,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2018-06-01,719,32,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2018-07-01,555,36,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2018-08-01,1751,143,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2018-09-01,322,38,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2018-10-01,373,30,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2018-11-01,2628,30,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2018-12-01,506,49,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2019-01-01,377,43,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2019-02-01,268,14,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2019-03-01,493,24,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2019-04-01,459,37,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2019-05-01,273,27,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2019-06-01,1691,25,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2019-07-01,1830,35,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2019-08-01,451,22,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2019-09-01,187,15,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2019-10-01,343,7,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2019-11-01,2637,24,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2019-12-01,2308,41,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2020-01-01,1745,29,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2020-02-01,3860,77,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2020-03-01,1976,33,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2020-04-01,1826,46,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2020-05-01,1254,27,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2020-06-01,1420,29,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2020-07-01,2344,89,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2020-08-01,2287,71,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2020-09-01,1005,34,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2020-10-01,781,30,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2020-11-01,1557,26,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2020-12-01,1381,45,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2021-01-01,2493,69,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2021-02-01,4359,116,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2021-03-01,1705,64,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2021-04-01,1812,37,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2021-05-01,1316,52,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
2021-06-01,1743,62,Adventure|Roguelike|Action Roguelike|Metroidvania|Pixel Graphics
