Date,Price
2017-05-10,629.0
2017-05-11,629.0
2017-05-17,629.0
2017-06-22,629.0
2017-07-05,629.0
2017-09-01,629.0
2017-09-05,629.0
2017-10-26,629.0
2017-11-01,629.0
2017-11-17,629.0
2017-11-19,629.0
2017-11-22,629.0
2017-11-28,629.0
2017-12-21,629.0
2018-01-04,629.0
2018-01-08,629.0
2018-02-15,629.0
2018-02-19,629.0
2018-03-06,629.0
2018-03-09,629.0
2018-06-05,629.0
2018-06-08,629.0
2018-06-21,629.0
2018-07-05,629.0
2018-07-06,629.0
2018-08-06,629.0
2018-08-13,629.0
2018-10-05,629.0
2018-10-08,629.0
2018-10-29,629.0
2018-11-01,629.0
2018-11-21,629.0
2018-11-27,629.0
2018-12-06,629.0
2018-12-11,629.0
2018-12-20,629.0
2019-01-03,629.0
2019-02-04,629.0
2019-02-11,629.0
2019-03-28,629.0
2019-03-28,629.0
2019-04-01,629.0
2019-04-04,629.0
2019-04-12,629.0
2019-05-07,629.0
2019-05-10,629.0
2019-06-25,629.0
2019-07-09,629.0
2019-08-13,629.0
2019-08-16,629.0
2019-10-28,629.0
2019-11-01,629.0
2019-11-07,629.0
2019-11-12,629.0
2019-11-26,629.0
2019-12-03,629.0
2019-12-12,629.0
2019-12-14,629.0
2019-12-19,629.0
2020-01-02,629.0
2020-01-23,629.0
2020-01-27,629.0
2020-02-11,629.0
2020-02-14,629.0
2020-04-03,629.0
2020-04-16,629.0
2020-05-05,629.0
2020-05-12,629.0
2020-06-23,629.0
2020-06-25,629.0
2020-06-25,629.0
2020-07-09,629.0
2020-08-10,629.0
2020-08-24,629.0
2020-10-29,629.0
2020-11-02,629.0
2020-11-25,629.0
2020-12-01,629.0
2020-12-09,629.0
2020-12-14,629.0
2020-12-22,629.0
2021-01-05,629.0
2021-01-26,629.0
2021-02-10,629.0
