Date,Positive_Reviews,Negative_Reviews,Top_Tags
2011-08-01,6,0,Free to Play|MOBA|Multiplayer|Strategy|eSports
2011-09-01,9,0,Free to Play|MOBA|Multiplayer|Strategy|eSports
2011-10-01,20,0,Free to Play|MOBA|Multiplayer|Strategy|eSports
2011-11-01,266,22,Free to Play|MOBA|Multiplayer|Strategy|eSports
2011-12-01,932,94,Free to Play|MOBA|Multiplayer|Strategy|eSports
2012-01-01,318,27,Free to Play|MOBA|Multiplayer|Strategy|eSports
2012-02-01,252,23,Free to Play|MOBA|Multiplayer|Strategy|eSports
2012-03-01,568,48,Free to Play|MOBA|Multiplayer|Strategy|eSports
2012-04-01,724,49,Free to Play|MOBA|Multiplayer|Strategy|eSports
2012-05-01,448,33,Free to Play|MOBA|Multiplayer|Strategy|eSports
2012-06-01,543,59,Free to Play|MOBA|Multiplayer|Strategy|eSports
2012-07-01,2440,263,Free to Play|MOBA|Multiplayer|Strategy|eSports
2012-08-01,1131,107,Free to Play|MOBA|Multiplayer|Strategy|eSports
2012-09-01,920,102,Free to Play|MOBA|Multiplayer|Strategy|eSports
2012-10-01,1335,152,Free to Play|MOBA|Multiplayer|Strategy|eSports
2012-11-01,1562,178,Free to Play|MOBA|Multiplayer|Strategy|eSports
2012-12-01,2047,235,Free to Play|MOBA|Multiplayer|Strategy|eSports
2013-01-01,1990,238,Free to Play|MOBA|Multiplayer|Strategy|eSports
2013-02-01,1665,184,Free to Play|MOBA|Multiplayer|Strategy|eSports
2013-03-01,2029,206,Free to Play|MOBA|Multiplayer|Strategy|eSports
2013-04-01,1601,169,Free to Play|MOBA|Multiplayer|Strategy|eSports
2013-05-01,2602,274,Free to Play|MOBA|Multiplayer|Strategy|eSports
2013-06-01,2403,280,Free to Play|MOBA|Multiplayer|Strategy|eSports
2013-07-01,1969,209,Free to Play|MOBA|Multiplayer|Strategy|eSports
2013-08-01,1512,152,Free to Play|MOBA|Multiplayer|Strategy|eSports
2013-09-01,1371,141,Free to Play|MOBA|Multiplayer|Strategy|eSports
2013-10-01,1725,203,Free to Play|MOBA|Multiplayer|Strategy|eSports
2013-11-01,4820,331,Free to Play|MOBA|Multiplayer|Strategy|eSports
2013-12-01,25598,1202,Free to Play|MOBA|Multiplayer|Strategy|eSports
2014-01-01,18139,1110,Free to Play|MOBA|Multiplayer|Strategy|eSports
2014-02-01,14922,1199,Free to Play|MOBA|Multiplayer|Strategy|eSports
2014-03-01,12833,909,Free to Play|MOBA|Multiplayer|Strategy|eSports
2014-04-01,11549,760,Free to Play|MOBA|Multiplayer|Strategy|eSports
2014-05-01,14828,1080,Free to Play|MOBA|Multiplayer|Strategy|eSports
2014-06-01,28706,1626,Free to Play|MOBA|Multiplayer|Strategy|eSports
2014-07-01,19683,1219,Free to Play|MOBA|Multiplayer|Strategy|eSports
2014-08-01,18187,1052,Free to Play|MOBA|Multiplayer|Strategy|eSports
2014-09-01,13925,1035,Free to Play|MOBA|Multiplayer|Strategy|eSports
2014-10-01,12966,1242,Free to Play|MOBA|Multiplayer|Strategy|eSports
2014-11-01,14193,1361,Free to Play|MOBA|Multiplayer|Strategy|eSports
2014-12-01,15728,1422,Free to Play|MOBA|Multiplayer|Strategy|eSports
2015-01-01,14423,1412,Free to Play|MOBA|Multiplayer|Strategy|eSports
2015-02-01,11585,1434,Free to Play|MOBA|Multiplayer|Strategy|eSports
2015-03-01,12644,1286,Free to Play|MOBA|Multiplayer|Strategy|eSports
2015-04-01,11009,1107,Free to Play|MOBA|Multiplayer|Strategy|eSports
2015-05-01,12642,1340,Free to Play|MOBA|Multiplayer|Strategy|eSports
2015-06-01,14528,1640,Free to Play|MOBA|Multiplayer|Strategy|eSports
2015-07-01,10651,1318,Free to Play|MOBA|Multiplayer|Strategy|eSports
2015-08-01,11118,1341,Free to Play|MOBA|Multiplayer|Strategy|eSports
2015-09-01,9943,2414,Free to Play|MOBA|Multiplayer|Strategy|eSports
2015-10-01,9392,1719,Free to Play|MOBA|Multiplayer|Strategy|eSports
2015-11-01,9958,1536,Free to Play|MOBA|Multiplayer|Strategy|eSports
2015-12-01,12926,1900,Free to Play|MOBA|Multiplayer|Strategy|eSports
2016-01-01,14373,2066,Free to Play|MOBA|Multiplayer|Strategy|eSports
2016-02-01,12518,1801,Free to Play|MOBA|Multiplayer|Strategy|eSports
2016-03-01,12563,1771,Free to Play|MOBA|Multiplayer|Strategy|eSports
2016-04-01,10186,1567,Free to Play|MOBA|Multiplayer|Strategy|eSports
