Date,Positive_Reviews,Negative_Reviews,Top_Tags
2024-03-01,27643,22132,General
2024-04-01,7577,3657,General
2024-05-01,1131,750,General
2024-06-01,527,468,General
2024-07-01,618,474,General
2024-08-01,302,251,General
2024-09-01,606,457,General
2024-10-01,562,273,General
2024-11-01,1218,362,General
2024-12-01,887,314,General
2025-01-01,504,227,General
2025-02-01,402,237,General
2025-03-01,427,183,General
2025-04-01,239,127,General
2025-05-01,255,138,General
2025-06-01,399,308,General
2025-07-01,305,175,General
2025-08-01,321,196,General
2025-09-01,191,118,General
2025-10-01,258,133,General
2025-11-01,266,139,General
2025-12-01,294,169,General
2026-01-01,347,170,General
2026-02-01,310,124,General
2026-03-01,313,158,General
2026-04-01,258,137,General
2026-05-01,159,92,General
