Date,Positive_Reviews,Negative_Reviews,Top_Tags
2022-09-01,840,1818,Football (Soccer)|Sports|Controller|eSports|PvP
2022-10-01,6745,9170,Football (Soccer)|Sports|Controller|eSports|PvP
2022-11-01,5717,4218,Football (Soccer)|Sports|Controller|eSports|PvP
2022-12-01,9058,8415,Football (Soccer)|Sports|Controller|eSports|PvP
2023-01-01,8709,8317,Football (Soccer)|Sports|Controller|eSports|PvP
2023-02-01,4282,4170,Football (Soccer)|Sports|Controller|eSports|PvP
2023-03-01,3674,3132,Football (Soccer)|Sports|Controller|eSports|PvP
2023-04-01,5539,3989,Football (Soccer)|Sports|Controller|eSports|PvP
2023-05-01,4363,3063,Football (Soccer)|Sports|Controller|eSports|PvP
2023-06-01,3819,2396,Football (Soccer)|Sports|Controller|eSports|PvP
2023-07-01,5443,2870,Football (Soccer)|Sports|Controller|eSports|PvP
2023-08-01,3891,2116,Football (Soccer)|Sports|Controller|eSports|PvP
2023-09-01,2191,1000,Football (Soccer)|Sports|Controller|eSports|PvP
2023-10-01,1398,603,Football (Soccer)|Sports|Controller|eSports|PvP
2023-11-01,1418,397,Football (Soccer)|Sports|Controller|eSports|PvP
2023-12-01,892,359,Football (Soccer)|Sports|Controller|eSports|PvP
2024-01-01,649,283,Football (Soccer)|Sports|Controller|eSports|PvP
2024-02-01,470,227,Football (Soccer)|Sports|Controller|eSports|PvP
2024-03-01,506,214,Football (Soccer)|Sports|Controller|eSports|PvP
2024-04-01,458,165,Football (Soccer)|Sports|Controller|eSports|PvP
2024-05-01,376,164,Football (Soccer)|Sports|Controller|eSports|PvP
2024-06-01,436,209,Football (Soccer)|Sports|Controller|eSports|PvP
2024-07-01,399,185,Football (Soccer)|Sports|Controller|eSports|PvP
2024-08-01,236,100,Football (Soccer)|Sports|Controller|eSports|PvP
2024-09-01,200,106,Football (Soccer)|Sports|Controller|eSports|PvP
2024-10-01,184,97,Football (Soccer)|Sports|Controller|eSports|PvP
2024-11-01,173,68,Football (Soccer)|Sports|Controller|eSports|PvP
2024-12-01,170,87,Football (Soccer)|Sports|Controller|eSports|PvP
2025-01-01,156,76,Football (Soccer)|Sports|Controller|eSports|PvP
2025-02-01,110,61,Football (Soccer)|Sports|Controller|eSports|PvP
2025-03-01,96,47,Football (Soccer)|Sports|Controller|eSports|PvP
2025-04-01,95,33,Football (Soccer)|Sports|Controller|eSports|PvP
2025-05-01,95,44,Football (Soccer)|Sports|Controller|eSports|PvP
2025-06-01,108,30,Football (Soccer)|Sports|Controller|eSports|PvP
2025-07-01,92,40,Football (Soccer)|Sports|Controller|eSports|PvP
2025-08-01,74,27,Football (Soccer)|Sports|Controller|eSports|PvP
2025-09-01,69,22,Football (Soccer)|Sports|Controller|eSports|PvP
2025-10-01,84,28,Football (Soccer)|Sports|Controller|eSports|PvP
2025-11-01,65,21,Football (Soccer)|Sports|Controller|eSports|PvP
2025-12-01,70,56,Football (Soccer)|Sports|Controller|eSports|PvP
2026-01-01,74,47,Football (Soccer)|Sports|Controller|eSports|PvP
2026-02-01,49,33,Football (Soccer)|Sports|Controller|eSports|PvP
2026-03-01,49,25,Football (Soccer)|Sports|Controller|eSports|PvP
2026-04-01,54,30,Football (Soccer)|Sports|Controller|eSports|PvP
2026-05-01,26,12,Football (Soccer)|Sports|Controller|eSports|PvP
