Date,Positive_Reviews,Negative_Reviews,Top_Tags
2022-02-01,70204,25063,Violent
2022-03-01,191559,18982,Violent
2022-04-01,48837,4191,Violent
2022-05-01,19446,1696,Violent
2022-06-01,11680,1057,Violent
2022-07-01,8456,768,Violent
2022-08-01,7598,699,Violent
2022-09-01,5814,445,Violent
2022-10-01,5414,405,Violent
2022-11-01,31368,581,Violent
2022-12-01,14346,1132,Violent
2023-01-01,18024,1275,Violent
2023-02-01,10303,630,Violent
2023-03-01,9795,585,Violent
2023-04-01,6201,449,Violent
2023-05-01,4867,339,Violent
2023-06-01,4772,322,Violent
2023-07-01,10515,929,Violent
2023-08-01,6776,463,Violent
2023-09-01,4890,327,Violent
2023-10-01,9084,820,Violent
2023-11-01,8300,368,Violent
2023-12-01,9025,734,Violent
2024-01-01,13847,875,Violent
2024-02-01,10657,626,Violent
2024-03-01,11002,635,Violent
2024-04-01,6904,409,Violent
2024-05-01,8647,536,Violent
2024-06-01,36714,5051,Violent
2024-07-01,36109,3502,Violent
2024-08-01,13340,1086,Violent
2024-09-01,8177,725,Violent
2024-10-01,6089,1289,Violent
2024-11-01,9131,391,Violent
2024-12-01,9826,720,Violent
2025-01-01,9507,754,Violent
2025-02-01,6063,476,Violent
2025-03-01,7773,673,Violent
2025-04-01,5539,474,Violent
2025-05-01,5443,464,Violent
2025-06-01,6213,580,Violent
2025-07-01,8100,798,Violent
2025-08-01,5299,436,Violent
2025-09-01,3420,265,Violent
2025-10-01,3148,240,Violent
2025-11-01,3403,245,Violent
2025-12-01,5085,469,Violent
2026-01-01,6198,525,Violent
2026-02-01,3937,332,Violent
2026-03-01,4585,474,Violent
2026-04-01,4447,369,Violent
2026-05-01,2460,194,Violent
