Date,Positive_Reviews,Negative_Reviews,Top_Tags
2013-01-01,96,0,Driving|Transportation|Simulation|Open World|Automobile Sim
2013-02-01,81,0,Driving|Transportation|Simulation|Open World|Automobile Sim
2013-03-01,75,0,Driving|Transportation|Simulation|Open World|Automobile Sim
2013-04-01,66,0,Driving|Transportation|Simulation|Open World|Automobile Sim
2013-05-01,51,1,Driving|Transportation|Simulation|Open World|Automobile Sim
2013-06-01,39,0,Driving|Transportation|Simulation|Open World|Automobile Sim
2013-07-01,237,0,Driving|Transportation|Simulation|Open World|Automobile Sim
2013-08-01,90,1,Driving|Transportation|Simulation|Open World|Automobile Sim
2013-09-01,94,0,Driving|Transportation|Simulation|Open World|Automobile Sim
2013-10-01,124,2,Driving|Transportation|Simulation|Open World|Automobile Sim
2013-11-01,367,2,Driving|Transportation|Simulation|Open World|Automobile Sim
2013-12-01,1314,13,Driving|Transportation|Simulation|Open World|Automobile Sim
2014-01-01,690,10,Driving|Transportation|Simulation|Open World|Automobile Sim
2014-02-01,379,5,Driving|Transportation|Simulation|Open World|Automobile Sim
2014-03-01,325,5,Driving|Transportation|Simulation|Open World|Automobile Sim
2014-04-01,736,7,Driving|Transportation|Simulation|Open World|Automobile Sim
2014-05-01,492,9,Driving|Transportation|Simulation|Open World|Automobile Sim
2014-06-01,1926,27,Driving|Transportation|Simulation|Open World|Automobile Sim
2014-07-01,1028,10,Driving|Transportation|Simulation|Open World|Automobile Sim
2014-08-01,703,2,Driving|Transportation|Simulation|Open World|Automobile Sim
2014-09-01,605,7,Driving|Transportation|Simulation|Open World|Automobile Sim
2014-10-01,932,16,Driving|Transportation|Simulation|Open World|Automobile Sim
2014-11-01,1230,19,Driving|Transportation|Simulation|Open World|Automobile Sim
2014-12-01,2770,50,Driving|Transportation|Simulation|Open World|Automobile Sim
2015-01-01,1661,53,Driving|Transportation|Simulation|Open World|Automobile Sim
2015-02-01,839,21,Driving|Transportation|Simulation|Open World|Automobile Sim
2015-03-01,763,12,Driving|Transportation|Simulation|Open World|Automobile Sim
2015-04-01,767,14,Driving|Transportation|Simulation|Open World|Automobile Sim
2015-05-01,1125,42,Driving|Transportation|Simulation|Open World|Automobile Sim
2015-06-01,1906,61,Driving|Transportation|Simulation|Open World|Automobile Sim
2015-07-01,941,30,Driving|Transportation|Simulation|Open World|Automobile Sim
2015-08-01,977,22,Driving|Transportation|Simulation|Open World|Automobile Sim
2015-09-01,795,17,Driving|Transportation|Simulation|Open World|Automobile Sim
2015-10-01,987,31,Driving|Transportation|Simulation|Open World|Automobile Sim
2015-11-01,1353,37,Driving|Transportation|Simulation|Open World|Automobile Sim
2015-12-01,2614,100,Driving|Transportation|Simulation|Open World|Automobile Sim
2016-01-01,2482,82,Driving|Transportation|Simulation|Open World|Automobile Sim
2016-02-01,1631,57,Driving|Transportation|Simulation|Open World|Automobile Sim
2016-03-01,899,44,Driving|Transportation|Simulation|Open World|Automobile Sim
2016-04-01,798,35,Driving|Transportation|Simulation|Open World|Automobile Sim
2016-05-01,1109,32,Driving|Transportation|Simulation|Open World|Automobile Sim
2016-06-01,1404,57,Driving|Transportation|Simulation|Open World|Automobile Sim
2016-07-01,1638,55,Driving|Transportation|Simulation|Open World|Automobile Sim
2016-08-01,948,28,Driving|Transportation|Simulation|Open World|Automobile Sim
2016-09-01,829,25,Driving|Transportation|Simulation|Open World|Automobile Sim
2016-10-01,973,28,Driving|Transportation|Simulation|Open World|Automobile Sim
2016-11-01,5085,82,Driving|Transportation|Simulation|Open World|Automobile Sim
2016-12-01,2823,80,Driving|Transportation|Simulation|Open World|Automobile Sim
2017-01-01,2472,97,Driving|Transportation|Simulation|Open World|Automobile Sim
2017-02-01,1327,45,Driving|Transportation|Simulation|Open World|Automobile Sim
2017-03-01,1053,36,Driving|Transportation|Simulation|Open World|Automobile Sim
2017-04-01,1164,28,Driving|Transportation|Simulation|Open World|Automobile Sim
2017-05-01,2523,87,Driving|Transportation|Simulation|Open World|Automobile Sim
2017-06-01,2829,102,Driving|Transportation|Simulation|Open World|Automobile Sim
2017-07-01,3424,146,Driving|Transportation|Simulation|Open World|Automobile Sim
2017-08-01,1808,68,Driving|Transportation|Simulation|Open World|Automobile Sim
2017-09-01,1303,39,Driving|Transportation|Simulation|Open World|Automobile Sim
2017-10-01,1672,77,Driving|Transportation|Simulation|Open World|Automobile Sim
2017-11-01,8275,143,Driving|Transportation|Simulation|Open World|Automobile Sim
2017-12-01,3663,170,Driving|Transportation|Simulation|Open World|Automobile Sim
2018-01-01,3398,131,Driving|Transportation|Simulation|Open World|Automobile Sim
2018-02-01,1968,81,Driving|Transportation|Simulation|Open World|Automobile Sim
2018-03-01,1421,75,Driving|Transportation|Simulation|Open World|Automobile Sim
2018-04-01,1031,44,Driving|Transportation|Simulation|Open World|Automobile Sim
2018-05-01,2183,103,Driving|Transportation|Simulation|Open World|Automobile Sim
2018-06-01,2202,135,Driving|Transportation|Simulation|Open World|Automobile Sim
2018-07-01,2365,141,Driving|Transportation|Simulation|Open World|Automobile Sim
2018-08-01,1562,92,Driving|Transportation|Simulation|Open World|Automobile Sim
2018-09-01,1941,123,Driving|Transportation|Simulation|Open World|Automobile Sim
2018-10-01,1311,76,Driving|Transportation|Simulation|Open World|Automobile Sim
2018-11-01,9449,173,Driving|Transportation|Simulation|Open World|Automobile Sim
2018-12-01,2698,152,Driving|Transportation|Simulation|Open World|Automobile Sim
2019-01-01,2267,124,Driving|Transportation|Simulation|Open World|Automobile Sim
2019-02-01,1820,90,Driving|Transportation|Simulation|Open World|Automobile Sim
2019-03-01,1399,78,Driving|Transportation|Simulation|Open World|Automobile Sim
2019-04-01,1115,46,Driving|Transportation|Simulation|Open World|Automobile Sim
2019-05-01,1459,88,Driving|Transportation|Simulation|Open World|Automobile Sim
2019-06-01,5918,115,Driving|Transportation|Simulation|Open World|Automobile Sim
2019-07-01,7420,165,Driving|Transportation|Simulation|Open World|Automobile Sim
2019-08-01,1258,71,Driving|Transportation|Simulation|Open World|Automobile Sim
2019-09-01,1315,54,Driving|Transportation|Simulation|Open World|Automobile Sim
2019-10-01,2405,66,Driving|Transportation|Simulation|Open World|Automobile Sim
2019-11-01,14197,150,Driving|Transportation|Simulation|Open World|Automobile Sim
2019-12-01,16119,320,Driving|Transportation|Simulation|Open World|Automobile Sim
2020-01-01,8943,195,Driving|Transportation|Simulation|Open World|Automobile Sim
2020-02-01,7533,201,Driving|Transportation|Simulation|Open World|Automobile Sim
2020-03-01,7661,152,Driving|Transportation|Simulation|Open World|Automobile Sim
2020-04-01,11753,256,Driving|Transportation|Simulation|Open World|Automobile Sim
2020-05-01,8665,243,Driving|Transportation|Simulation|Open World|Automobile Sim
2020-06-01,7601,204,Driving|Transportation|Simulation|Open World|Automobile Sim
2020-07-01,9324,226,Driving|Transportation|Simulation|Open World|Automobile Sim
2020-08-01,6606,156,Driving|Transportation|Simulation|Open World|Automobile Sim
2020-09-01,4811,140,Driving|Transportation|Simulation|Open World|Automobile Sim
2020-10-01,7193,154,Driving|Transportation|Simulation|Open World|Automobile Sim
2020-11-01,11516,181,Driving|Transportation|Simulation|Open World|Automobile Sim
2020-12-01,10954,248,Driving|Transportation|Simulation|Open World|Automobile Sim
2021-01-01,8852,221,Driving|Transportation|Simulation|Open World|Automobile Sim
2021-02-01,8581,198,Driving|Transportation|Simulation|Open World|Automobile Sim
2021-03-01,8354,182,Driving|Transportation|Simulation|Open World|Automobile Sim
2021-04-01,8693,213,Driving|Transportation|Simulation|Open World|Automobile Sim
2021-05-01,8542,215,Driving|Transportation|Simulation|Open World|Automobile Sim
2021-06-01,8107,212,Driving|Transportation|Simulation|Open World|Automobile Sim
2021-07-01,10630,284,Driving|Transportation|Simulation|Open World|Automobile Sim
2021-08-01,6054,167,Driving|Transportation|Simulation|Open World|Automobile Sim
2021-09-01,7514,210,Driving|Transportation|Simulation|Open World|Automobile Sim
2021-10-01,6418,175,Driving|Transportation|Simulation|Open World|Automobile Sim
2021-11-01,14228,224,Driving|Transportation|Simulation|Open World|Automobile Sim
2021-12-01,8800,229,Driving|Transportation|Simulation|Open World|Automobile Sim
2022-01-01,10189,281,Driving|Transportation|Simulation|Open World|Automobile Sim
2022-02-01,7261,207,Driving|Transportation|Simulation|Open World|Automobile Sim
2022-03-01,7386,1082,Driving|Transportation|Simulation|Open World|Automobile Sim
2022-04-01,6278,218,Driving|Transportation|Simulation|Open World|Automobile Sim
2022-05-01,7020,499,Driving|Transportation|Simulation|Open World|Automobile Sim
2022-06-01,6259,325,Driving|Transportation|Simulation|Open World|Automobile Sim
2022-07-01,6751,231,Driving|Transportation|Simulation|Open World|Automobile Sim
2022-08-01,6189,185,Driving|Transportation|Simulation|Open World|Automobile Sim
2022-09-01,6472,187,Driving|Transportation|Simulation|Open World|Automobile Sim
2022-10-01,6445,162,Driving|Transportation|Simulation|Open World|Automobile Sim
2022-11-01,11215,224,Driving|Transportation|Simulation|Open World|Automobile Sim
2022-12-01,7564,247,Driving|Transportation|Simulation|Open World|Automobile Sim
2023-01-01,8644,225,Driving|Transportation|Simulation|Open World|Automobile Sim
2023-02-01,6049,155,Driving|Transportation|Simulation|Open World|Automobile Sim
2023-03-01,7217,194,Driving|Transportation|Simulation|Open World|Automobile Sim
2023-04-01,7306,261,Driving|Transportation|Simulation|Open World|Automobile Sim
2023-05-01,6684,204,Driving|Transportation|Simulation|Open World|Automobile Sim
2023-06-01,5288,209,Driving|Transportation|Simulation|Open World|Automobile Sim
2023-07-01,9422,269,Driving|Transportation|Simulation|Open World|Automobile Sim
2023-08-01,9196,345,Driving|Transportation|Simulation|Open World|Automobile Sim
2023-09-01,6700,304,Driving|Transportation|Simulation|Open World|Automobile Sim
2023-10-01,9307,302,Driving|Transportation|Simulation|Open World|Automobile Sim
2023-11-01,16400,344,Driving|Transportation|Simulation|Open World|Automobile Sim
2023-12-01,9634,313,Driving|Transportation|Simulation|Open World|Automobile Sim
2024-01-01,8410,261,Driving|Transportation|Simulation|Open World|Automobile Sim
2024-02-01,5899,200,Driving|Transportation|Simulation|Open World|Automobile Sim
2024-03-01,7448,257,Driving|Transportation|Simulation|Open World|Automobile Sim
2024-04-01,6468,200,Driving|Transportation|Simulation|Open World|Automobile Sim
2024-05-01,7617,395,Driving|Transportation|Simulation|Open World|Automobile Sim
2024-06-01,6010,270,Driving|Transportation|Simulation|Open World|Automobile Sim
2024-07-01,13770,521,Driving|Transportation|Simulation|Open World|Automobile Sim
2024-08-01,7040,241,Driving|Transportation|Simulation|Open World|Automobile Sim
2024-09-01,7430,363,Driving|Transportation|Simulation|Open World|Automobile Sim
2024-10-01,6531,254,Driving|Transportation|Simulation|Open World|Automobile Sim
2024-11-01,7679,263,Driving|Transportation|Simulation|Open World|Automobile Sim
2024-12-01,11239,380,Driving|Transportation|Simulation|Open World|Automobile Sim
2025-01-01,8931,312,Driving|Transportation|Simulation|Open World|Automobile Sim
2025-02-01,7012,264,Driving|Transportation|Simulation|Open World|Automobile Sim
2025-03-01,8963,350,Driving|Transportation|Simulation|Open World|Automobile Sim
2025-04-01,7259,262,Driving|Transportation|Simulation|Open World|Automobile Sim
2025-05-01,5909,228,Driving|Transportation|Simulation|Open World|Automobile Sim
2025-06-01,5657,192,Driving|Transportation|Simulation|Open World|Automobile Sim
2025-07-01,9185,363,Driving|Transportation|Simulation|Open World|Automobile Sim
2025-08-01,6438,260,Driving|Transportation|Simulation|Open World|Automobile Sim
2025-09-01,5641,245,Driving|Transportation|Simulation|Open World|Automobile Sim
2025-10-01,7767,288,Driving|Transportation|Simulation|Open World|Automobile Sim
2025-11-01,7196,265,Driving|Transportation|Simulation|Open World|Automobile Sim
2025-12-01,9424,379,Driving|Transportation|Simulation|Open World|Automobile Sim
2026-01-01,8023,262,Driving|Transportation|Simulation|Open World|Automobile Sim
2026-02-01,7879,407,Driving|Transportation|Simulation|Open World|Automobile Sim
2026-03-01,7143,294,Driving|Transportation|Simulation|Open World|Automobile Sim
2026-04-01,6880,266,Driving|Transportation|Simulation|Open World|Automobile Sim
2026-05-01,4013,154,Driving|Transportation|Simulation|Open World|Automobile Sim
