Date,Price
2014-11-27,920.0
2014-11-28,920.0
2014-11-30,920.0
2014-12-02,920.0
2014-12-05,920.0
2014-12-10,920.0
2014-12-18,920.0
2014-12-20,920.0
2014-12-31,920.0
2015-01-02,920.0
2015-03-19,920.0
2015-04-27,920.0
2015-05-04,920.0
2015-05-27,920.0
2015-06-11,920.0
2015-06-17,920.0
2015-06-19,920.0
2015-06-20,920.0
2015-06-22,920.0
2015-07-30,920.0
2015-08-03,920.0
2015-09-21,920.0
2015-09-28,920.0
2015-10-26,920.0
2015-11-02,920.0
2015-11-05,920.0
2015-11-05,920.0
2015-11-25,920.0
2015-12-01,920.0
2015-12-22,920.0
2016-01-04,920.0
2016-02-05,920.0
2016-02-12,920.0
2016-05-06,920.0
2016-05-08,920.0
2016-05-16,920.0
2016-05-23,920.0
2016-06-23,920.0
2016-07-04,920.0
2016-07-18,920.0
2016-07-25,920.0
2016-08-01,920.0
2016-10-10,920.0
2016-10-17,920.0
2016-10-28,920.0
2016-11-02,920.0
2016-11-08,920.0
2016-11-23,920.0
2016-11-30,920.0
2016-12-22,920.0
2017-01-02,920.0
2017-04-28,920.0
2017-04-29,920.0
2017-05-11,920.0
2017-05-15,920.0
2017-06-22,920.0
2017-07-05,920.0
2017-07-11,920.0
2017-07-19,920.0
2017-10-26,920.0
2017-11-01,920.0
2017-11-22,920.0
2017-11-28,920.0
2017-12-21,920.0
2018-01-04,920.0
2018-01-15,920.0
2018-01-22,920.0
2018-02-15,920.0
2018-02-19,920.0
2018-05-14,920.0
2018-05-21,920.0
2018-06-21,920.0
2018-07-05,920.0
2018-07-16,920.0
2018-07-23,920.0
2018-09-17,920.0
2018-09-24,920.0
2018-10-29,920.0
2018-11-01,920.0
2018-11-05,920.0
2018-11-05,920.0
2018-11-21,920.0
2018-11-27,920.0
2018-11-29,920.0
2018-12-03,920.0
2018-12-20,920.0
2019-01-03,920.0
2019-01-14,920.0
2019-01-21,920.0
2019-02-04,920.0
2019-02-11,920.0
2019-03-18,920.0
2019-03-25,920.0
2019-05-20,920.0
2019-05-27,920.0
2019-06-11,920.0
2019-06-14,920.0
2019-06-25,920.0
2019-07-09,920.0
2019-07-15,920.0
2019-07-22,920.0
2019-07-31,920.0
2019-08-02,920.0
2019-09-09,920.0
2019-09-16,920.0
2019-10-28,920.0
2019-11-01,920.0
2019-11-10,920.0
2019-11-12,920.0
2019-11-26,920.0
2019-12-03,920.0
2019-12-05,920.0
2019-12-11,920.0
2019-12-19,920.0
2020-01-02,920.0
2020-01-23,920.0
2020-01-27,920.0
2020-02-10,920.0
2020-02-17,920.0
2020-03-30,920.0
2020-04-06,920.0
2020-05-25,920.0
2020-06-01,920.0
2020-06-25,920.0
2020-07-09,920.0
2020-07-16,920.0
2020-07-27,920.0
2020-08-17,920.0
2020-08-24,920.0
2020-10-05,920.0
2020-10-12,920.0
2020-10-26,920.0
2020-11-02,920.0
2020-11-25,920.0
2020-12-01,920.0
2020-12-14,920.0
2020-12-21,920.0
2020-12-22,920.0
2021-01-05,920.0
2021-02-03,920.0
2021-02-09,920.0
