Date,Positive_Reviews,Negative_Reviews,Top_Tags
2022-06-01,3403,338,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2022-07-01,1817,232,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2022-08-01,561,78,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2022-09-01,665,69,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2022-10-01,460,49,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2022-11-01,1268,53,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2022-12-01,1085,157,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2023-01-01,1098,144,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2023-02-01,380,59,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2023-03-01,617,76,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2023-04-01,546,80,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2023-05-01,520,74,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2023-06-01,370,49,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2023-07-01,819,93,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2023-08-01,306,53,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2023-09-01,421,68,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2023-10-01,350,37,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2023-11-01,507,55,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2023-12-01,816,123,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2024-01-01,729,110,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2024-02-01,930,185,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2024-03-01,1644,209,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2024-04-01,907,122,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2024-05-01,870,99,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2024-06-01,432,64,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2024-07-01,641,78,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2024-08-01,357,59,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2024-09-01,534,94,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2024-10-01,390,68,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2024-11-01,301,58,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2024-12-01,962,162,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2025-01-01,1709,216,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2025-02-01,952,124,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2025-03-01,612,99,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2025-04-01,375,56,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2025-05-01,490,97,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2025-06-01,368,75,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2025-07-01,608,123,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2025-08-01,365,63,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2025-09-01,386,52,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2025-10-01,530,90,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2025-11-01,563,99,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2025-12-01,793,158,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2026-01-01,775,154,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2026-02-01,644,136,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2026-03-01,670,129,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2026-04-01,466,102,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
2026-05-01,298,46,RPG|Action RPG|JRPG|Singleplayer|Action-Adventure
