Date,Positive_Reviews,Negative_Reviews,Top_Tags
2016-02-01,564,3,Automation|Base Building|Resource Management|Sandbox|Crafting
2016-03-01,2922,28,Automation|Base Building|Resource Management|Sandbox|Crafting
2016-04-01,1519,19,Automation|Base Building|Resource Management|Sandbox|Crafting
2016-05-01,944,15,Automation|Base Building|Resource Management|Sandbox|Crafting
2016-06-01,648,5,Automation|Base Building|Resource Management|Sandbox|Crafting
2016-07-01,590,6,Automation|Base Building|Resource Management|Sandbox|Crafting
2016-08-01,582,5,Automation|Base Building|Resource Management|Sandbox|Crafting
2016-09-01,516,6,Automation|Base Building|Resource Management|Sandbox|Crafting
2016-10-01,510,8,Automation|Base Building|Resource Management|Sandbox|Crafting
2016-11-01,3012,4,Automation|Base Building|Resource Management|Sandbox|Crafting
2016-12-01,628,12,Automation|Base Building|Resource Management|Sandbox|Crafting
2017-01-01,735,12,Automation|Base Building|Resource Management|Sandbox|Crafting
2017-02-01,706,12,Automation|Base Building|Resource Management|Sandbox|Crafting
2017-03-01,560,7,Automation|Base Building|Resource Management|Sandbox|Crafting
2017-04-01,574,13,Automation|Base Building|Resource Management|Sandbox|Crafting
2017-05-01,823,13,Automation|Base Building|Resource Management|Sandbox|Crafting
2017-06-01,826,11,Automation|Base Building|Resource Management|Sandbox|Crafting
2017-07-01,749,14,Automation|Base Building|Resource Management|Sandbox|Crafting
2017-08-01,629,10,Automation|Base Building|Resource Management|Sandbox|Crafting
2017-09-01,601,9,Automation|Base Building|Resource Management|Sandbox|Crafting
2017-10-01,593,9,Automation|Base Building|Resource Management|Sandbox|Crafting
2017-11-01,2703,13,Automation|Base Building|Resource Management|Sandbox|Crafting
2017-12-01,888,12,Automation|Base Building|Resource Management|Sandbox|Crafting
2018-01-01,782,19,Automation|Base Building|Resource Management|Sandbox|Crafting
2018-02-01,560,18,Automation|Base Building|Resource Management|Sandbox|Crafting
2018-03-01,617,14,Automation|Base Building|Resource Management|Sandbox|Crafting
2018-04-01,799,27,Automation|Base Building|Resource Management|Sandbox|Crafting
2018-05-01,741,12,Automation|Base Building|Resource Management|Sandbox|Crafting
2018-06-01,676,19,Automation|Base Building|Resource Management|Sandbox|Crafting
2018-07-01,606,18,Automation|Base Building|Resource Management|Sandbox|Crafting
2018-08-01,487,12,Automation|Base Building|Resource Management|Sandbox|Crafting
2018-09-01,394,12,Automation|Base Building|Resource Management|Sandbox|Crafting
2018-10-01,442,15,Automation|Base Building|Resource Management|Sandbox|Crafting
2018-11-01,4306,19,Automation|Base Building|Resource Management|Sandbox|Crafting
2018-12-01,626,13,Automation|Base Building|Resource Management|Sandbox|Crafting
2019-01-01,606,8,Automation|Base Building|Resource Management|Sandbox|Crafting
2019-02-01,606,10,Automation|Base Building|Resource Management|Sandbox|Crafting
2019-03-01,739,16,Automation|Base Building|Resource Management|Sandbox|Crafting
2019-04-01,462,16,Automation|Base Building|Resource Management|Sandbox|Crafting
2019-05-01,535,16,Automation|Base Building|Resource Management|Sandbox|Crafting
2019-06-01,1978,18,Automation|Base Building|Resource Management|Sandbox|Crafting
2019-07-01,2218,17,Automation|Base Building|Resource Management|Sandbox|Crafting
2019-08-01,370,10,Automation|Base Building|Resource Management|Sandbox|Crafting
2019-09-01,317,16,Automation|Base Building|Resource Management|Sandbox|Crafting
2019-10-01,840,9,Automation|Base Building|Resource Management|Sandbox|Crafting
2019-11-01,4613,22,Automation|Base Building|Resource Management|Sandbox|Crafting
2019-12-01,2710,31,Automation|Base Building|Resource Management|Sandbox|Crafting
2020-01-01,2729,18,Automation|Base Building|Resource Management|Sandbox|Crafting
2020-02-01,1861,14,Automation|Base Building|Resource Management|Sandbox|Crafting
2020-03-01,2010,20,Automation|Base Building|Resource Management|Sandbox|Crafting
2020-04-01,1949,19,Automation|Base Building|Resource Management|Sandbox|Crafting
2020-05-01,1786,19,Automation|Base Building|Resource Management|Sandbox|Crafting
2020-06-01,1728,19,Automation|Base Building|Resource Management|Sandbox|Crafting
2020-07-01,1454,18,Automation|Base Building|Resource Management|Sandbox|Crafting
2020-08-01,5303,52,Automation|Base Building|Resource Management|Sandbox|Crafting
2020-09-01,2433,29,Automation|Base Building|Resource Management|Sandbox|Crafting
2020-10-01,2031,22,Automation|Base Building|Resource Management|Sandbox|Crafting
2020-11-01,8088,32,Automation|Base Building|Resource Management|Sandbox|Crafting
2020-12-01,2273,16,Automation|Base Building|Resource Management|Sandbox|Crafting
2021-01-01,2247,29,Automation|Base Building|Resource Management|Sandbox|Crafting
2021-02-01,2120,25,Automation|Base Building|Resource Management|Sandbox|Crafting
2021-03-01,1663,20,Automation|Base Building|Resource Management|Sandbox|Crafting
2021-04-01,1438,22,Automation|Base Building|Resource Management|Sandbox|Crafting
2021-05-01,1361,21,Automation|Base Building|Resource Management|Sandbox|Crafting
2021-06-01,4691,152,Automation|Base Building|Resource Management|Sandbox|Crafting
2021-07-01,1929,30,Automation|Base Building|Resource Management|Sandbox|Crafting
2021-08-01,1565,45,Automation|Base Building|Resource Management|Sandbox|Crafting
2021-09-01,1753,30,Automation|Base Building|Resource Management|Sandbox|Crafting
2021-10-01,1851,37,Automation|Base Building|Resource Management|Sandbox|Crafting
2021-11-01,2236,17,Automation|Base Building|Resource Management|Sandbox|Crafting
2021-12-01,1724,34,Automation|Base Building|Resource Management|Sandbox|Crafting
2022-01-01,1730,25,Automation|Base Building|Resource Management|Sandbox|Crafting
2022-02-01,1433,22,Automation|Base Building|Resource Management|Sandbox|Crafting
2022-03-01,2072,920,Automation|Base Building|Resource Management|Sandbox|Crafting
2022-04-01,1491,86,Automation|Base Building|Resource Management|Sandbox|Crafting
2022-05-01,1484,38,Automation|Base Building|Resource Management|Sandbox|Crafting
2022-06-01,1426,33,Automation|Base Building|Resource Management|Sandbox|Crafting
2022-07-01,1898,1534,Automation|Base Building|Resource Management|Sandbox|Crafting
2022-08-01,1342,77,Automation|Base Building|Resource Management|Sandbox|Crafting
2022-09-01,1251,50,Automation|Base Building|Resource Management|Sandbox|Crafting
2022-10-01,1231,39,Automation|Base Building|Resource Management|Sandbox|Crafting
2022-11-01,1991,38,Automation|Base Building|Resource Management|Sandbox|Crafting
2022-12-01,1808,39,Automation|Base Building|Resource Management|Sandbox|Crafting
2023-01-01,1651,319,Automation|Base Building|Resource Management|Sandbox|Crafting
2023-02-01,1162,101,Automation|Base Building|Resource Management|Sandbox|Crafting
2023-03-01,1202,48,Automation|Base Building|Resource Management|Sandbox|Crafting
2023-04-01,1140,46,Automation|Base Building|Resource Management|Sandbox|Crafting
2023-05-01,983,30,Automation|Base Building|Resource Management|Sandbox|Crafting
2023-06-01,1026,38,Automation|Base Building|Resource Management|Sandbox|Crafting
2023-07-01,1144,42,Automation|Base Building|Resource Management|Sandbox|Crafting
2023-08-01,1164,44,Automation|Base Building|Resource Management|Sandbox|Crafting
2023-09-01,1201,33,Automation|Base Building|Resource Management|Sandbox|Crafting
2023-10-01,1255,24,Automation|Base Building|Resource Management|Sandbox|Crafting
2023-11-01,2324,44,Automation|Base Building|Resource Management|Sandbox|Crafting
2023-12-01,1417,37,Automation|Base Building|Resource Management|Sandbox|Crafting
