Date,Price
2014-11-27,399.0
2014-11-28,399.0
2014-11-30,399.0
2014-12-02,399.0
2014-12-18,399.0
2014-12-23,399.0
2014-12-25,399.0
2014-12-31,399.0
2015-01-02,399.0
2015-02-14,399.0
2015-02-16,399.0
2015-06-11,399.0
2015-06-15,399.0
2015-06-17,399.0
2015-06-20,399.0
2015-06-22,399.0
2015-07-30,399.0
2015-08-03,399.0
2015-11-25,399.0
2015-12-01,399.0
2015-12-22,399.0
2016-01-04,399.0
2016-02-05,399.0
2016-02-12,399.0
2016-04-12,399.0
2016-04-14,399.0
2016-06-23,399.0
2016-07-04,399.0
2016-11-23,399.0
2016-11-30,399.0
2016-12-22,399.0
2017-01-02,399.0
2017-06-22,399.0
2017-07-05,399.0
2017-10-26,399.0
2017-11-01,399.0
2017-11-22,399.0
2017-11-28,399.0
2017-12-21,399.0
2018-01-04,399.0
2018-02-15,399.0
2018-02-19,399.0
2018-06-21,399.0
2018-07-05,399.0
2018-10-29,399.0
2018-11-01,399.0
2018-11-21,399.0
2018-11-27,399.0
2018-12-20,399.0
2019-01-03,399.0
2019-02-04,399.0
2019-02-11,399.0
2019-06-25,399.0
2019-07-09,399.0
2019-10-28,399.0
2019-11-01,399.0
2019-11-10,399.0
2019-11-12,399.0
2019-11-26,399.0
2019-12-03,399.0
2019-12-16,399.0
2019-12-17,399.0
2020-01-02,399.0
2020-01-23,399.0
2020-01-27,399.0
2020-03-23,399.0
2020-03-30,399.0
2020-06-25,399.0
2020-07-09,399.0
2020-10-29,399.0
2020-11-02,399.0
2020-11-25,399.0
2020-12-01,399.0
2020-12-22,399.0
2021-01-05,399.0
