Date,Positive_Reviews,Negative_Reviews,Top_Tags
2024-05-01,14168,1814,General
2024-06-01,5883,433,General
2024-07-01,2297,135,General
2024-08-01,1762,99,General
2024-09-01,2158,154,General
2024-10-01,1628,81,General
2024-11-01,2774,58,General
2024-12-01,2630,141,General
2025-01-01,1759,109,General
2025-02-01,1036,53,General
2025-03-01,2418,175,General
2025-04-01,1334,76,General
2025-05-01,885,42,General
2025-06-01,832,53,General
2025-07-01,1839,96,General
2025-08-01,1068,42,General
2025-09-01,729,259,General
2025-10-01,2615,131,General
2025-11-01,2043,123,General
2025-12-01,2511,162,General
2026-01-01,1982,123,General
2026-02-01,1340,108,General
2026-03-01,1370,94,General
2026-04-01,986,51,General
2026-05-01,433,27,General
