Date,Positive_Reviews,Negative_Reviews,Top_Tags
2024-04-01,2347,933,Action|MOBA|PvP|Multiplayer|Hero Shooter
2024-05-01,152,93,Action|MOBA|PvP|Multiplayer|Hero Shooter
2024-06-01,59,38,Action|MOBA|PvP|Multiplayer|Hero Shooter
2024-07-01,48,42,Action|MOBA|PvP|Multiplayer|Hero Shooter
2024-08-01,23,19,Action|MOBA|PvP|Multiplayer|Hero Shooter
2024-09-01,17,8,Action|MOBA|PvP|Multiplayer|Hero Shooter
2024-10-01,6,24,Action|MOBA|PvP|Multiplayer|Hero Shooter
2024-11-01,11,18,Action|MOBA|PvP|Multiplayer|Hero Shooter
2024-12-01,8,10,Action|MOBA|PvP|Multiplayer|Hero Shooter
2025-01-01,4,20,Action|MOBA|PvP|Multiplayer|Hero Shooter
2025-02-01,7,11,Action|MOBA|PvP|Multiplayer|Hero Shooter
2025-03-01,2,13,Action|MOBA|PvP|Multiplayer|Hero Shooter
2025-04-01,1,7,Action|MOBA|PvP|Multiplayer|Hero Shooter
2025-05-01,3,12,Action|MOBA|PvP|Multiplayer|Hero Shooter
2025-06-01,1,13,Action|MOBA|PvP|Multiplayer|Hero Shooter
2025-07-01,2,5,Action|MOBA|PvP|Multiplayer|Hero Shooter
2025-08-01,5,18,Action|MOBA|PvP|Multiplayer|Hero Shooter
2025-09-01,1,3,Action|MOBA|PvP|Multiplayer|Hero Shooter
2025-10-01,1,7,Action|MOBA|PvP|Multiplayer|Hero Shooter
2025-11-01,0,7,Action|MOBA|PvP|Multiplayer|Hero Shooter
2025-12-01,0,2,Action|MOBA|PvP|Multiplayer|Hero Shooter
2026-01-01,1,2,Action|MOBA|PvP|Multiplayer|Hero Shooter
2026-02-01,0,5,Action|MOBA|PvP|Multiplayer|Hero Shooter
2026-03-01,2,5,Action|MOBA|PvP|Multiplayer|Hero Shooter
2026-04-01,3,3,Action|MOBA|PvP|Multiplayer|Hero Shooter
2026-05-01,0,1,Action|MOBA|PvP|Multiplayer|Hero Shooter
