Date,Positive_Reviews,Negative_Reviews,Top_Tags
2015-04-01,18075,4672,General
2015-05-01,6553,2126,General
2015-06-01,5086,1619,General
2015-07-01,3243,808,General
2015-08-01,2576,565,General
2015-09-01,2208,409,General
2015-10-01,2937,593,General
2015-11-01,4153,882,General
2015-12-01,6171,1303,General
2016-01-01,5165,906,General
2016-02-01,4236,623,General
2016-03-01,3597,624,General
2016-04-01,2628,476,General
2016-05-01,2257,615,General
2016-06-01,3864,1204,General
2016-07-01,4014,1470,General
2016-08-01,2960,1167,General
2016-09-01,2211,828,General
2016-10-01,3053,1166,General
2016-11-01,22098,2499,General
2016-12-01,6460,2535,General
2017-01-01,5526,2528,General
2017-02-01,5356,2772,General
2017-03-01,4389,1367,General
2017-04-01,3624,953,General
2017-05-01,3693,1009,General
2017-06-01,12084,34533,General
2017-07-01,5802,2922,General
2017-08-01,4590,1788,General
2017-09-01,3644,1511,General
2017-10-01,4104,1296,General
2017-11-01,17895,1862,General
2017-12-01,7854,2230,General
2018-01-01,6880,2054,General
2018-02-01,3997,1096,General
2018-03-01,4184,4087,General
2018-04-01,2652,1240,General
2018-05-01,2948,1236,General
2018-06-01,4044,1603,General
2018-07-01,6217,2806,General
2018-08-01,4074,1445,General
2018-09-01,2890,1005,General
2018-10-01,2750,958,General
2018-11-01,16566,1310,General
2018-12-01,5068,1257,General
2019-01-01,4199,1051,General
2019-02-01,4469,1095,General
2019-03-01,4127,1184,General
2019-04-01,2578,754,General
2019-05-01,3450,986,General
2019-06-01,15754,1280,General
2019-07-01,21370,2443,General
2019-08-01,4476,1971,General
2019-09-01,2847,1879,General
2019-10-01,7633,1900,General
2019-11-01,54263,4644,General
2019-12-01,47797,4082,General
2020-01-01,40679,3666,General
2020-02-01,38042,4778,General
2020-03-01,32426,3152,General
2020-04-01,29461,3246,General
2020-05-01,33600,6283,General
2020-06-01,17786,2413,General
2020-07-01,16474,1964,General
2020-08-01,17366,2081,General
2020-09-01,11305,1324,General
2020-10-01,13804,1286,General
2020-11-01,16560,1563,General
2020-12-01,24054,2199,General
2021-01-01,21574,2046,General
2021-02-01,19161,1705,General
2021-03-01,21606,1974,General
2021-04-01,19268,1745,General
2021-05-01,16591,1533,General
2021-06-01,21947,1824,General
2021-07-01,29610,2557,General
2021-08-01,26671,2424,General
2021-09-01,17691,1665,General
2021-10-01,16719,1410,General
2021-11-01,16679,1676,General
2021-12-01,22613,2160,General
2022-01-01,19762,1747,General
2022-02-01,18142,1561,General
2022-03-01,15191,1849,General
2022-04-01,14093,1245,General
2022-05-01,13788,1481,General
2022-06-01,15497,1563,General
2022-07-01,18468,1877,General
2022-08-01,19959,1853,General
2022-09-01,15734,1309,General
2022-10-01,15035,1180,General
2022-11-01,15133,1258,General
2022-12-01,21576,1817,General
2023-01-01,22997,2269,General
2023-02-01,16594,1598,General
2023-03-01,15742,1479,General
2023-04-01,14524,1145,General
2023-05-01,14412,1138,General
2023-06-01,20316,2937,General
2023-07-01,23958,2396,General
2023-08-01,19073,2000,General
2023-09-01,16213,1477,General
2023-10-01,16583,1417,General
2023-11-01,16421,1276,General
2023-12-01,30134,2868,General
2024-01-01,21316,1984,General
2024-02-01,18397,1537,General
2024-03-01,18769,1617,General
2024-04-01,16415,1406,General
2024-05-01,15414,1367,General
2024-06-01,16790,1384,General
2024-07-01,21897,1777,General
2024-08-01,19622,1715,General
2024-09-01,16870,3757,General
2024-10-01,13158,1497,General
2024-11-01,14991,1383,General
2024-12-01,19329,1728,General
2025-01-01,21770,1822,General
2025-02-01,16469,1300,General
2025-03-01,11173,994,General
2025-04-01,6207,439,General
2025-05-01,8030,579,General
2025-06-01,6842,2554,General
2025-07-01,6703,639,General
2025-08-01,6269,486,General
2025-09-01,5277,440,General
2025-10-01,6030,407,General
2025-11-01,6937,507,General
2025-12-01,8770,654,General
2026-01-01,8631,575,General
2026-02-01,6433,469,General
2026-03-01,6285,438,General
2026-04-01,5783,431,General
2026-05-01,2998,219,General
