Date,Positive_Reviews,Negative_Reviews,Top_Tags
2024-02-01,119827,40360,General
2024-03-01,98970,16423,General
2024-04-01,45283,6147,General
2024-05-01,114571,228757,General
2024-06-01,8762,1872,General
2024-07-01,4573,873,General
2024-08-01,4979,7609,General
2024-09-01,5011,1744,General
2024-10-01,4448,489,General
2024-11-01,13175,786,General
2024-12-01,15858,1713,General
2025-01-01,9104,598,General
2025-02-01,7688,827,General
2025-03-01,6230,895,General
2025-04-01,3601,461,General
2025-05-01,10776,5567,General
2025-06-01,9387,1146,General
2025-07-01,6079,739,General
2025-08-01,5514,828,General
2025-09-01,8887,5089,General
2025-10-01,4306,2819,General
2025-11-01,5551,1088,General
2025-12-01,4942,871,General
2026-01-01,4265,638,General
2026-02-01,8902,1425,General
2026-03-01,5955,3498,General
2026-04-01,3860,4573,General
2026-05-01,2297,3682,General
