Date,Positive_Reviews,Negative_Reviews,Top_Tags
2016-06-01,1476,336,Strategy|World War II|Grand Strategy|War|Historical
2016-07-01,418,71,Strategy|World War II|Grand Strategy|War|Historical
2016-08-01,301,62,Strategy|World War II|Grand Strategy|War|Historical
2016-09-01,280,44,Strategy|World War II|Grand Strategy|War|Historical
2016-10-01,247,55,Strategy|World War II|Grand Strategy|War|Historical
2016-11-01,857,95,Strategy|World War II|Grand Strategy|War|Historical
2016-12-01,439,113,Strategy|World War II|Grand Strategy|War|Historical
2017-01-01,377,69,Strategy|World War II|Grand Strategy|War|Historical
2017-02-01,319,54,Strategy|World War II|Grand Strategy|War|Historical
2017-03-01,347,56,Strategy|World War II|Grand Strategy|War|Historical
2017-04-01,393,63,Strategy|World War II|Grand Strategy|War|Historical
2017-05-01,421,105,Strategy|World War II|Grand Strategy|War|Historical
2017-06-01,797,346,Strategy|World War II|Grand Strategy|War|Historical
2017-07-01,508,122,Strategy|World War II|Grand Strategy|War|Historical
2017-08-01,345,59,Strategy|World War II|Grand Strategy|War|Historical
2017-09-01,520,92,Strategy|World War II|Grand Strategy|War|Historical
2017-10-01,522,89,Strategy|World War II|Grand Strategy|War|Historical
2017-11-01,1810,101,Strategy|World War II|Grand Strategy|War|Historical
2017-12-01,676,78,Strategy|World War II|Grand Strategy|War|Historical
2018-01-01,649,77,Strategy|World War II|Grand Strategy|War|Historical
2018-02-01,533,51,Strategy|World War II|Grand Strategy|War|Historical
2018-03-01,978,184,Strategy|World War II|Grand Strategy|War|Historical
2018-04-01,467,85,Strategy|World War II|Grand Strategy|War|Historical
2018-05-01,536,115,Strategy|World War II|Grand Strategy|War|Historical
2018-06-01,629,99,Strategy|World War II|Grand Strategy|War|Historical
2018-07-01,578,86,Strategy|World War II|Grand Strategy|War|Historical
2018-08-01,515,68,Strategy|World War II|Grand Strategy|War|Historical
2018-09-01,496,88,Strategy|World War II|Grand Strategy|War|Historical
2018-10-01,442,45,Strategy|World War II|Grand Strategy|War|Historical
2018-11-01,3357,106,Strategy|World War II|Grand Strategy|War|Historical
