Date,Positive_Reviews,Negative_Reviews,Top_Tags
2018-05-01,1718,408,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2018-06-01,878,322,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2018-07-01,672,178,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2018-08-01,514,137,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2018-09-01,257,57,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2018-10-01,240,48,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2018-11-01,591,54,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2018-12-01,324,69,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2019-01-01,306,46,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2019-02-01,331,72,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2019-03-01,212,44,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2019-04-01,205,56,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2019-05-01,338,100,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2019-06-01,1053,112,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2019-07-01,1271,95,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2019-08-01,186,39,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2019-09-01,154,26,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2019-10-01,311,55,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2019-11-01,1369,50,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2019-12-01,1468,65,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2020-01-01,1285,78,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2020-02-01,1019,50,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2020-03-01,1178,56,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2020-04-01,1780,87,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2020-05-01,1772,89,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
2020-06-01,1371,72,Simulation|Design & Illustration|Singleplayer|Building|Multiplayer
