Date,Positive_Reviews,Negative_Reviews,Top_Tags
2021-03-01,2837,110,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2021-04-01,14176,591,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2021-05-01,6107,307,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2021-06-01,5179,247,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2021-07-01,4335,215,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2021-08-01,3649,174,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2021-09-01,1847,67,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2021-10-01,2058,93,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2021-11-01,7408,121,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2021-12-01,5227,232,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2022-01-01,7035,319,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2022-02-01,5159,230,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2022-03-01,4358,263,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2022-04-01,2694,132,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2022-05-01,1622,85,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2022-06-01,2923,147,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2022-07-01,3427,206,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2022-08-01,2613,133,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2022-09-01,1810,81,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2022-10-01,1806,100,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2022-11-01,3883,206,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2022-12-01,4473,324,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2023-01-01,4036,370,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2023-02-01,2411,175,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2023-03-01,1802,177,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2023-04-01,1622,141,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2023-05-01,1354,124,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2023-06-01,1255,84,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2023-07-01,3029,196,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2023-08-01,1740,117,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2023-09-01,2714,205,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2023-10-01,2142,204,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2023-11-01,3660,206,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2023-12-01,3597,349,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2024-01-01,3230,261,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2024-02-01,4028,249,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2024-03-01,3391,348,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2024-04-01,1850,237,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2024-05-01,2005,245,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2024-06-01,1885,94,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2024-07-01,2950,138,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2024-08-01,2104,112,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2024-09-01,3043,142,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2024-10-01,1598,70,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2024-11-01,2315,112,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2024-12-01,6594,222,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2025-01-01,5342,178,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2025-02-01,5212,198,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2025-03-01,4692,151,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2025-04-01,2215,59,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2025-05-01,2164,66,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2025-06-01,2328,85,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2025-07-01,3292,117,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2025-08-01,2404,95,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2025-09-01,1884,84,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2025-10-01,2417,78,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2025-11-01,2017,60,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2025-12-01,3485,133,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2026-01-01,4231,164,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2026-02-01,3502,121,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2026-03-01,3122,93,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2026-04-01,1929,82,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
2026-05-01,1067,45,Co-op|Multiplayer|Split Screen|Local Co-Op|Online Co-Op
