Date,Positive_Reviews,Negative_Reviews,Top_Tags
2023-09-01,5578,889,Violent
2023-10-01,4887,476,Violent
2023-11-01,5531,284,Violent
2023-12-01,2350,208,Violent
2024-01-01,1987,173,Violent
2024-02-01,1220,135,Violent
2024-03-01,1238,149,Violent
2024-04-01,1187,138,Violent
2024-05-01,833,90,Violent
2024-06-01,694,59,Violent
2024-07-01,1601,229,Violent
2024-08-01,859,103,Violent
2024-09-01,838,114,Violent
2024-10-01,699,72,Violent
2024-11-01,823,97,Violent
2024-12-01,948,130,Violent
2025-01-01,889,109,Violent
2025-02-01,737,53,Violent
2025-03-01,1497,159,Violent
2025-04-01,753,102,Violent
2025-05-01,767,120,Violent
2025-06-01,4030,490,Violent
2025-07-01,2652,302,Violent
2025-08-01,1408,175,Violent
2025-09-01,952,88,Violent
2025-10-01,755,103,Violent
2025-11-01,1480,97,Violent
2025-12-01,960,113,Violent
2026-01-01,1200,179,Violent
2026-02-01,635,70,Violent
2026-03-01,833,107,Violent
2026-04-01,676,79,Violent
2026-05-01,472,106,Violent
