Date,Positive_Reviews,Negative_Reviews,Top_Tags
2022-01-01,10641,1724,Action|Online Co-Op|Hunting|Character Customization|RPG
2022-02-01,2728,377,Action|Online Co-Op|Hunting|Character Customization|RPG
2022-03-01,1465,263,Action|Online Co-Op|Hunting|Character Customization|RPG
2022-04-01,797,151,Action|Online Co-Op|Hunting|Character Customization|RPG
2022-05-01,1938,387,Action|Online Co-Op|Hunting|Character Customization|RPG
2022-06-01,2996,541,Action|Online Co-Op|Hunting|Character Customization|RPG
2022-07-01,4640,943,Action|Online Co-Op|Hunting|Character Customization|RPG
2022-08-01,2334,422,Action|Online Co-Op|Hunting|Character Customization|RPG
2022-09-01,1059,209,Action|Online Co-Op|Hunting|Character Customization|RPG
2022-10-01,1036,271,Action|Online Co-Op|Hunting|Character Customization|RPG
2022-11-01,4476,445,Action|Online Co-Op|Hunting|Character Customization|RPG
2022-12-01,1405,270,Action|Online Co-Op|Hunting|Character Customization|RPG
2023-01-01,1433,261,Action|Online Co-Op|Hunting|Character Customization|RPG
2023-02-01,1024,264,Action|Online Co-Op|Hunting|Character Customization|RPG
2023-03-01,1465,287,Action|Online Co-Op|Hunting|Character Customization|RPG
2023-04-01,1046,220,Action|Online Co-Op|Hunting|Character Customization|RPG
2023-05-01,811,123,Action|Online Co-Op|Hunting|Character Customization|RPG
2023-06-01,859,211,Action|Online Co-Op|Hunting|Character Customization|RPG
2023-07-01,1033,162,Action|Online Co-Op|Hunting|Character Customization|RPG
2023-08-01,625,100,Action|Online Co-Op|Hunting|Character Customization|RPG
2023-09-01,745,117,Action|Online Co-Op|Hunting|Character Customization|RPG
2023-10-01,660,89,Action|Online Co-Op|Hunting|Character Customization|RPG
2023-11-01,1168,149,Action|Online Co-Op|Hunting|Character Customization|RPG
2023-12-01,1109,201,Action|Online Co-Op|Hunting|Character Customization|RPG
2024-01-01,1089,3301,Action|Online Co-Op|Hunting|Character Customization|RPG
2024-02-01,457,429,Action|Online Co-Op|Hunting|Character Customization|RPG
2024-03-01,1030,321,Action|Online Co-Op|Hunting|Character Customization|RPG
2024-04-01,821,188,Action|Online Co-Op|Hunting|Character Customization|RPG
2024-05-01,725,124,Action|Online Co-Op|Hunting|Character Customization|RPG
2024-06-01,1022,190,Action|Online Co-Op|Hunting|Character Customization|RPG
2024-07-01,761,117,Action|Online Co-Op|Hunting|Character Customization|RPG
2024-08-01,909,163,Action|Online Co-Op|Hunting|Character Customization|RPG
2024-09-01,683,153,Action|Online Co-Op|Hunting|Character Customization|RPG
2024-10-01,723,127,Action|Online Co-Op|Hunting|Character Customization|RPG
2024-11-01,911,165,Action|Online Co-Op|Hunting|Character Customization|RPG
2024-12-01,753,114,Action|Online Co-Op|Hunting|Character Customization|RPG
2025-01-01,612,90,Action|Online Co-Op|Hunting|Character Customization|RPG
2025-02-01,808,117,Action|Online Co-Op|Hunting|Character Customization|RPG
2025-03-01,710,119,Action|Online Co-Op|Hunting|Character Customization|RPG
2025-04-01,504,61,Action|Online Co-Op|Hunting|Character Customization|RPG
2025-05-01,585,87,Action|Online Co-Op|Hunting|Character Customization|RPG
2025-06-01,654,79,Action|Online Co-Op|Hunting|Character Customization|RPG
2025-07-01,633,86,Action|Online Co-Op|Hunting|Character Customization|RPG
2025-08-01,550,80,Action|Online Co-Op|Hunting|Character Customization|RPG
2025-09-01,335,88,Action|Online Co-Op|Hunting|Character Customization|RPG
2025-10-01,362,82,Action|Online Co-Op|Hunting|Character Customization|RPG
2025-11-01,445,59,Action|Online Co-Op|Hunting|Character Customization|RPG
2025-12-01,695,84,Action|Online Co-Op|Hunting|Character Customization|RPG
2026-01-01,651,73,Action|Online Co-Op|Hunting|Character Customization|RPG
2026-02-01,548,61,Action|Online Co-Op|Hunting|Character Customization|RPG
2026-03-01,435,45,Action|Online Co-Op|Hunting|Character Customization|RPG
2026-04-01,742,91,Action|Online Co-Op|Hunting|Character Customization|RPG
2026-05-01,256,21,Action|Online Co-Op|Hunting|Character Customization|RPG
