Date,Positive_Reviews,Negative_Reviews,Top_Tags
2024-04-01,19788,2496,Strategy|City Builder|Simulation|Base Building|Medieval
2024-05-01,15057,2230,Strategy|City Builder|Simulation|Base Building|Medieval
2024-06-01,3060,457,Strategy|City Builder|Simulation|Base Building|Medieval
2024-07-01,1976,480,Strategy|City Builder|Simulation|Base Building|Medieval
2024-08-01,1277,297,Strategy|City Builder|Simulation|Base Building|Medieval
2024-09-01,1265,259,Strategy|City Builder|Simulation|Base Building|Medieval
2024-10-01,1056,279,Strategy|City Builder|Simulation|Base Building|Medieval
2024-11-01,2281,222,Strategy|City Builder|Simulation|Base Building|Medieval
2024-12-01,2495,404,Strategy|City Builder|Simulation|Base Building|Medieval
2025-01-01,1874,416,Strategy|City Builder|Simulation|Base Building|Medieval
2025-02-01,922,226,Strategy|City Builder|Simulation|Base Building|Medieval
2025-03-01,858,240,Strategy|City Builder|Simulation|Base Building|Medieval
2025-04-01,620,189,Strategy|City Builder|Simulation|Base Building|Medieval
2025-05-01,692,219,Strategy|City Builder|Simulation|Base Building|Medieval
2025-06-01,473,165,Strategy|City Builder|Simulation|Base Building|Medieval
2025-07-01,628,255,Strategy|City Builder|Simulation|Base Building|Medieval
2025-08-01,441,299,Strategy|City Builder|Simulation|Base Building|Medieval
2025-09-01,440,326,Strategy|City Builder|Simulation|Base Building|Medieval
2025-10-01,1826,395,Strategy|City Builder|Simulation|Base Building|Medieval
2025-11-01,1055,227,Strategy|City Builder|Simulation|Base Building|Medieval
2025-12-01,1281,288,Strategy|City Builder|Simulation|Base Building|Medieval
2026-01-01,1110,361,Strategy|City Builder|Simulation|Base Building|Medieval
2026-02-01,667,191,Strategy|City Builder|Simulation|Base Building|Medieval
2026-03-01,1080,283,Strategy|City Builder|Simulation|Base Building|Medieval
2026-04-01,768,242,Strategy|City Builder|Simulation|Base Building|Medieval
2026-05-01,321,130,Strategy|City Builder|Simulation|Base Building|Medieval
