Date,Positive_Reviews,Negative_Reviews,Top_Tags
2017-03-01,3553,558,Nudity|Violent
2017-04-01,2174,742,Nudity|Violent
2017-05-01,1574,599,Nudity|Violent
2017-06-01,995,292,Nudity|Violent
2017-07-01,1184,280,Nudity|Violent
2017-08-01,462,87,Nudity|Violent
2017-09-01,1026,298,Nudity|Violent
2017-10-01,453,92,Nudity|Violent
2017-11-01,2676,163,Nudity|Violent
2017-12-01,747,77,Nudity|Violent
2018-01-01,573,54,Nudity|Violent
2018-02-01,278,40,Nudity|Violent
2018-03-01,1665,503,Nudity|Violent
2018-04-01,749,145,Nudity|Violent
2018-05-01,746,134,Nudity|Violent
2018-06-01,468,67,Nudity|Violent
2018-07-01,339,44,Nudity|Violent
2018-08-01,282,46,Nudity|Violent
2018-09-01,442,119,Nudity|Violent
2018-10-01,440,84,Nudity|Violent
2018-11-01,2645,126,Nudity|Violent
2018-12-01,466,68,Nudity|Violent
2019-01-01,310,37,Nudity|Violent
2019-02-01,362,314,Nudity|Violent
2019-03-01,364,345,Nudity|Violent
2019-04-01,237,52,Nudity|Violent
2019-05-01,387,68,Nudity|Violent
2019-06-01,734,70,Nudity|Violent
2019-07-01,971,131,Nudity|Violent
2019-08-01,439,81,Nudity|Violent
2019-09-01,268,33,Nudity|Violent
2019-10-01,276,24,Nudity|Violent
2019-11-01,924,39,Nudity|Violent
2019-12-01,1241,90,Nudity|Violent
2020-01-01,816,47,Nudity|Violent
2020-02-01,1080,131,Nudity|Violent
2020-03-01,3059,289,Nudity|Violent
2020-04-01,1290,105,Nudity|Violent
2020-05-01,884,67,Nudity|Violent
2020-06-01,777,50,Nudity|Violent
2020-07-01,872,57,Nudity|Violent
2020-08-01,700,58,Nudity|Violent
2020-09-01,1252,191,Nudity|Violent
2020-10-01,2204,227,Nudity|Violent
2020-11-01,1155,99,Nudity|Violent
2020-12-01,1420,164,Nudity|Violent
2021-01-01,2002,170,Nudity|Violent
2021-02-01,1065,87,Nudity|Violent
2021-03-01,1027,2138,Nudity|Violent
2021-04-01,1083,652,Nudity|Violent
2021-05-01,2248,395,Nudity|Violent
2021-06-01,840,183,Nudity|Violent
2021-07-01,992,185,Nudity|Violent
2021-08-01,775,64,Nudity|Violent
2021-09-01,583,64,Nudity|Violent
2021-10-01,1927,172,Nudity|Violent
2021-11-01,1004,67,Nudity|Violent
2021-12-01,1293,118,Nudity|Violent
2022-01-01,1389,121,Nudity|Violent
2022-02-01,750,48,Nudity|Violent
2022-03-01,1121,101,Nudity|Violent
2022-04-01,908,57,Nudity|Violent
2022-05-01,580,41,Nudity|Violent
2022-06-01,567,43,Nudity|Violent
2022-07-01,680,46,Nudity|Violent
2022-08-01,558,33,Nudity|Violent
2022-09-01,470,30,Nudity|Violent
2022-10-01,441,34,Nudity|Violent
2022-11-01,594,23,Nudity|Violent
2022-12-01,612,42,Nudity|Violent
2023-01-01,928,54,Nudity|Violent
2023-02-01,548,31,Nudity|Violent
2023-03-01,1560,149,Nudity|Violent
2023-04-01,1249,87,Nudity|Violent
2023-05-01,996,98,Nudity|Violent
2023-06-01,571,52,Nudity|Violent
2023-07-01,1156,110,Nudity|Violent
2023-08-01,676,67,Nudity|Violent
2023-09-01,602,43,Nudity|Violent
2023-10-01,382,36,Nudity|Violent
2023-11-01,600,33,Nudity|Violent
2023-12-01,1197,104,Nudity|Violent
2024-01-01,1143,96,Nudity|Violent
2024-02-01,627,59,Nudity|Violent
2024-03-01,1102,143,Nudity|Violent
2024-04-01,908,112,Nudity|Violent
2024-05-01,1135,123,Nudity|Violent
2024-06-01,656,64,Nudity|Violent
2024-07-01,1272,151,Nudity|Violent
2024-08-01,789,65,Nudity|Violent
2024-09-01,891,112,Nudity|Violent
2024-10-01,740,74,Nudity|Violent
2024-11-01,609,52,Nudity|Violent
2024-12-01,1147,105,Nudity|Violent
2025-01-01,978,105,Nudity|Violent
2025-02-01,779,83,Nudity|Violent
2025-03-01,929,105,Nudity|Violent
2025-04-01,686,64,Nudity|Violent
2025-05-01,905,114,Nudity|Violent
2025-06-01,862,123,Nudity|Violent
2025-07-01,1026,90,Nudity|Violent
2025-08-01,1092,141,Nudity|Violent
2025-09-01,653,97,Nudity|Violent
2025-10-01,712,102,Nudity|Violent
2025-11-01,639,62,Nudity|Violent
2025-12-01,787,68,Nudity|Violent
2026-01-01,793,93,Nudity|Violent
2026-02-01,586,65,Nudity|Violent
2026-03-01,980,135,Nudity|Violent
2026-04-01,742,73,Nudity|Violent
2026-05-01,466,57,Nudity|Violent
