Date,Positive_Reviews,Negative_Reviews,Top_Tags
2022-10-01,6224,181,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2022-11-01,8166,173,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2022-12-01,3466,135,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2023-01-01,3671,153,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2023-02-01,1938,57,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2023-03-01,1606,79,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2023-04-01,1292,56,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2023-05-01,1377,54,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2023-06-01,863,40,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2023-07-01,2077,78,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2023-08-01,1190,33,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2023-09-01,1173,43,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2023-10-01,997,24,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2023-11-01,1282,33,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2023-12-01,1606,80,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2024-01-01,2071,75,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2024-02-01,2495,88,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2024-03-01,2147,70,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2024-04-01,1637,71,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2024-05-01,2220,237,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2024-06-01,1408,60,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2024-07-01,1894,87,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2024-08-01,2355,120,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2024-09-01,2022,97,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2024-10-01,1738,87,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2024-11-01,1703,97,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2024-12-01,2053,97,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2025-01-01,2088,72,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2025-02-01,1737,75,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2025-03-01,1440,61,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2025-04-01,1066,46,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2025-05-01,1473,91,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2025-06-01,1228,46,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2025-07-01,1983,109,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2025-08-01,1417,68,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2025-09-01,1090,51,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2025-10-01,1210,55,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2025-11-01,1031,49,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2025-12-01,1587,80,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2026-01-01,1980,82,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2026-02-01,1394,69,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2026-03-01,1319,65,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2026-04-01,1344,83,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
2026-05-01,1439,91,JRPG|Story Rich|Turn-Based Combat|Anime|RPG
