Date,Positive_Reviews,Negative_Reviews,Top_Tags
2011-04-01,754,1,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2011-05-01,276,2,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2011-06-01,73,0,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2011-07-01,589,0,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2011-08-01,117,1,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2011-09-01,65,0,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2011-10-01,192,1,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2011-11-01,128,3,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2011-12-01,886,1,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2012-01-01,218,0,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2012-02-01,71,1,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2012-03-01,126,0,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2012-04-01,87,3,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2012-05-01,287,1,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2012-06-01,109,0,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2012-07-01,939,1,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2012-08-01,270,0,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2012-09-01,189,0,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2012-10-01,101,0,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2012-11-01,153,1,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2012-12-01,392,0,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2013-01-01,288,3,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2013-02-01,137,0,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2013-03-01,170,1,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2013-04-01,291,2,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2013-05-01,282,1,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2013-06-01,213,0,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
2013-07-01,455,0,Singleplayer|Platformer|Puzzle|First-Person|Dark Humor
