Date,Positive_Reviews,Negative_Reviews,Top_Tags
2021-05-01,627,60,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2021-06-01,1995,65,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2021-07-01,3009,64,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2021-08-01,1697,23,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2021-09-01,1104,25,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2021-10-01,971,16,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2021-11-01,2296,17,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2021-12-01,1429,30,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2022-01-01,1272,39,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2022-02-01,687,20,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2022-03-01,1210,29,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2022-04-01,815,22,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2022-05-01,915,27,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2022-06-01,1057,41,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2022-07-01,2670,93,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2022-08-01,1569,43,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2022-09-01,887,33,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2022-10-01,580,12,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2022-11-01,2439,20,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2022-12-01,681,30,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2023-01-01,904,27,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2023-02-01,784,32,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2023-03-01,830,36,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2023-04-01,623,24,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2023-05-01,501,27,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2023-06-01,867,26,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2023-07-01,1229,56,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2023-08-01,620,17,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2023-09-01,617,23,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2023-10-01,443,7,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2023-11-01,778,23,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2023-12-01,704,28,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2024-01-01,594,21,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2024-02-01,379,16,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2024-03-01,518,29,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2024-04-01,456,20,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2024-05-01,515,20,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2024-06-01,384,28,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2024-07-01,687,31,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2024-08-01,665,42,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2024-09-01,465,14,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2024-10-01,747,55,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2024-11-01,702,19,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2024-12-01,689,17,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2025-01-01,492,17,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2025-02-01,398,19,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2025-03-01,625,18,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2025-04-01,423,19,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2025-05-01,492,29,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2025-06-01,444,27,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2025-07-01,619,40,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2025-08-01,596,34,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2025-09-01,332,67,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2025-10-01,633,64,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2025-11-01,372,30,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2025-12-01,395,14,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2026-01-01,384,34,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2026-02-01,275,17,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2026-03-01,286,14,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2026-04-01,260,17,Casual|Cleaning|Relaxing|Simulation|Multiplayer
2026-05-01,196,7,Casual|Cleaning|Relaxing|Simulation|Multiplayer
