Date,Positive_Reviews,Negative_Reviews,Top_Tags
2013-11-01,179,7,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2013-12-01,324,21,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2014-01-01,266,18,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2014-02-01,231,21,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2014-03-01,501,23,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2014-04-01,187,12,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2014-05-01,190,11,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2014-06-01,502,26,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2014-07-01,206,23,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2014-08-01,126,10,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2014-09-01,120,15,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2014-10-01,275,20,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2014-11-01,178,15,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2014-12-01,258,16,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2015-01-01,229,28,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2015-02-01,236,26,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2015-03-01,265,29,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2015-04-01,161,7,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2015-05-01,178,18,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2015-06-01,295,49,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2015-07-01,184,23,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2015-08-01,158,20,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2015-09-01,118,20,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2015-10-01,158,20,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2015-11-01,159,13,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2015-12-01,212,34,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2016-01-01,211,39,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2016-02-01,176,21,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2016-03-01,161,20,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2016-04-01,137,24,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2016-05-01,168,20,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2016-06-01,165,29,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2016-07-01,152,28,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2016-08-01,118,28,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2016-09-01,96,39,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2016-10-01,110,39,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2016-11-01,388,31,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2016-12-01,154,48,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2017-01-01,179,54,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2017-02-01,134,42,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2017-03-01,109,19,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2017-04-01,115,38,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2017-05-01,116,26,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2017-06-01,164,49,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2017-07-01,166,49,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2017-08-01,114,27,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2017-09-01,108,24,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2017-10-01,108,25,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2017-11-01,427,43,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2017-12-01,171,33,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2018-01-01,125,47,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2018-02-01,96,25,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2018-03-01,107,23,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2018-04-01,71,26,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
2018-05-01,115,22,Survival|Zombies|Open World|Multiplayer|Open World Survival Craft
