Date,Price
2014-11-27,880.0
2014-12-18,880.0
2014-12-21,880.0
2014-12-22,880.0
2015-01-02,880.0
2015-02-14,880.0
2015-02-16,880.0
2015-03-21,880.0
2015-03-23,880.0
2015-06-11,880.0
2015-06-15,880.0
2015-06-17,880.0
2015-06-22,880.0
2015-07-22,880.0
2015-10-29,880.0
2015-11-02,880.0
2015-12-22,880.0
2016-01-04,880.0
2016-06-23,880.0
2016-07-04,880.0
2016-10-28,880.0
2016-11-02,880.0
2016-12-22,880.0
2017-01-02,880.0
2017-06-22,880.0
2017-07-05,880.0
2017-10-26,880.0
2017-11-01,880.0
2017-11-22,880.0
2017-11-28,880.0
2017-12-21,880.0
2018-01-04,880.0
2018-02-15,880.0
2018-02-19,880.0
2018-06-08,880.0
2018-06-12,880.0
2018-06-21,880.0
2018-07-05,880.0
2018-10-29,880.0
2018-11-01,880.0
2018-11-21,880.0
2018-11-27,880.0
2018-12-20,880.0
2019-01-03,880.0
2019-05-16,880.0
2019-05-20,880.0
2019-06-25,880.0
2019-07-09,880.0
2019-10-14,880.0
2019-10-16,880.0
2019-10-28,880.0
2019-11-01,880.0
2019-11-26,880.0
2019-12-03,880.0
2019-12-19,880.0
2020-01-02,880.0
2020-06-25,880.0
2020-07-09,880.0
2020-10-29,880.0
2020-11-02,880.0
2020-11-25,880.0
2020-12-01,880.0
2020-12-22,880.0
2021-01-05,880.0
