Date,Positive_Reviews,Negative_Reviews,Top_Tags
2023-03-01,26973,817,General
2023-04-01,19839,627,General
2023-05-01,3565,116,General
2023-06-01,1623,33,General
2023-07-01,1378,39,General
2023-08-01,1107,29,General
2023-09-01,4476,146,General
2023-10-01,2884,76,General
2023-11-01,8933,109,General
2023-12-01,4094,118,General
2024-01-01,3514,286,General
2024-02-01,2173,88,General
2024-03-01,2759,77,General
2024-04-01,1933,53,General
2024-05-01,1451,35,General
2024-06-01,1879,51,General
2024-07-01,2171,48,General
2024-08-01,1605,57,General
2024-09-01,1536,49,General
2024-10-01,1550,54,General
2024-11-01,4049,120,General
2024-12-01,4176,104,General
2025-01-01,3342,92,General
2025-02-01,3020,82,General
2025-03-01,3037,69,General
2025-04-01,2248,57,General
2025-05-01,2869,78,General
2025-06-01,3940,120,General
2025-07-01,3453,85,General
2025-08-01,2698,68,General
2025-09-01,1817,51,General
2025-10-01,2164,54,General
2025-11-01,2306,67,General
2025-12-01,4259,105,General
2026-01-01,4680,127,General
2026-02-01,5529,1123,General
2026-03-01,6995,187,General
2026-04-01,8758,288,General
2026-05-01,2210,72,General
