Date,Positive_Reviews,Negative_Reviews,Top_Tags
2016-07-01,1128,48,Colony Sim|Base Building|Survival|Strategy|Management
2016-08-01,1081,39,Colony Sim|Base Building|Survival|Strategy|Management
2016-09-01,674,13,Colony Sim|Base Building|Survival|Strategy|Management
2016-10-01,465,10,Colony Sim|Base Building|Survival|Strategy|Management
2016-11-01,1747,11,Colony Sim|Base Building|Survival|Strategy|Management
2016-12-01,668,14,Colony Sim|Base Building|Survival|Strategy|Management
2017-01-01,855,23,Colony Sim|Base Building|Survival|Strategy|Management
2017-02-01,588,17,Colony Sim|Base Building|Survival|Strategy|Management
2017-03-01,509,11,Colony Sim|Base Building|Survival|Strategy|Management
2017-04-01,441,17,Colony Sim|Base Building|Survival|Strategy|Management
2017-05-01,560,16,Colony Sim|Base Building|Survival|Strategy|Management
2017-06-01,753,11,Colony Sim|Base Building|Survival|Strategy|Management
2017-07-01,672,15,Colony Sim|Base Building|Survival|Strategy|Management
2017-08-01,522,16,Colony Sim|Base Building|Survival|Strategy|Management
2017-09-01,457,12,Colony Sim|Base Building|Survival|Strategy|Management
2017-10-01,526,13,Colony Sim|Base Building|Survival|Strategy|Management
2017-11-01,2638,23,Colony Sim|Base Building|Survival|Strategy|Management
2017-12-01,659,20,Colony Sim|Base Building|Survival|Strategy|Management
2018-01-01,550,18,Colony Sim|Base Building|Survival|Strategy|Management
2018-02-01,482,16,Colony Sim|Base Building|Survival|Strategy|Management
2018-03-01,460,12,Colony Sim|Base Building|Survival|Strategy|Management
2018-04-01,405,10,Colony Sim|Base Building|Survival|Strategy|Management
2018-05-01,446,19,Colony Sim|Base Building|Survival|Strategy|Management
2018-06-01,508,10,Colony Sim|Base Building|Survival|Strategy|Management
2018-07-01,658,24,Colony Sim|Base Building|Survival|Strategy|Management
2018-08-01,538,18,Colony Sim|Base Building|Survival|Strategy|Management
2018-09-01,594,20,Colony Sim|Base Building|Survival|Strategy|Management
2018-10-01,2250,46,Colony Sim|Base Building|Survival|Strategy|Management
2018-11-01,4381,28,Colony Sim|Base Building|Survival|Strategy|Management
2018-12-01,626,23,Colony Sim|Base Building|Survival|Strategy|Management
2019-01-01,927,32,Colony Sim|Base Building|Survival|Strategy|Management
2019-02-01,566,14,Colony Sim|Base Building|Survival|Strategy|Management
2019-03-01,505,14,Colony Sim|Base Building|Survival|Strategy|Management
2019-04-01,434,11,Colony Sim|Base Building|Survival|Strategy|Management
2019-05-01,474,19,Colony Sim|Base Building|Survival|Strategy|Management
2019-06-01,1984,18,Colony Sim|Base Building|Survival|Strategy|Management
2019-07-01,2414,17,Colony Sim|Base Building|Survival|Strategy|Management
2019-08-01,477,22,Colony Sim|Base Building|Survival|Strategy|Management
2019-09-01,354,14,Colony Sim|Base Building|Survival|Strategy|Management
2019-10-01,1042,20,Colony Sim|Base Building|Survival|Strategy|Management
2019-11-01,4700,36,Colony Sim|Base Building|Survival|Strategy|Management
2019-12-01,2943,23,Colony Sim|Base Building|Survival|Strategy|Management
2020-01-01,2674,32,Colony Sim|Base Building|Survival|Strategy|Management
2020-02-01,3868,74,Colony Sim|Base Building|Survival|Strategy|Management
2020-03-01,4657,65,Colony Sim|Base Building|Survival|Strategy|Management
2020-04-01,2619,46,Colony Sim|Base Building|Survival|Strategy|Management
2020-05-01,1990,29,Colony Sim|Base Building|Survival|Strategy|Management
2020-06-01,1972,33,Colony Sim|Base Building|Survival|Strategy|Management
2020-07-01,2201,43,Colony Sim|Base Building|Survival|Strategy|Management
2020-08-01,2355,41,Colony Sim|Base Building|Survival|Strategy|Management
2020-09-01,1774,18,Colony Sim|Base Building|Survival|Strategy|Management
2020-10-01,1514,26,Colony Sim|Base Building|Survival|Strategy|Management
2020-11-01,2633,36,Colony Sim|Base Building|Survival|Strategy|Management
2020-12-01,1994,34,Colony Sim|Base Building|Survival|Strategy|Management
2021-01-01,2446,53,Colony Sim|Base Building|Survival|Strategy|Management
2021-02-01,1954,34,Colony Sim|Base Building|Survival|Strategy|Management
2021-03-01,1628,26,Colony Sim|Base Building|Survival|Strategy|Management
2021-04-01,1542,22,Colony Sim|Base Building|Survival|Strategy|Management
2021-05-01,1535,27,Colony Sim|Base Building|Survival|Strategy|Management
2021-06-01,1803,42,Colony Sim|Base Building|Survival|Strategy|Management
2021-07-01,4023,127,Colony Sim|Base Building|Survival|Strategy|Management
2021-08-01,3077,72,Colony Sim|Base Building|Survival|Strategy|Management
2021-09-01,2032,42,Colony Sim|Base Building|Survival|Strategy|Management
2021-10-01,1688,48,Colony Sim|Base Building|Survival|Strategy|Management
2021-11-01,2641,58,Colony Sim|Base Building|Survival|Strategy|Management
2021-12-01,2003,45,Colony Sim|Base Building|Survival|Strategy|Management
2022-01-01,2030,49,Colony Sim|Base Building|Survival|Strategy|Management
2022-02-01,1692,46,Colony Sim|Base Building|Survival|Strategy|Management
2022-03-01,1846,54,Colony Sim|Base Building|Survival|Strategy|Management
2022-04-01,1715,43,Colony Sim|Base Building|Survival|Strategy|Management
2022-05-01,1802,52,Colony Sim|Base Building|Survival|Strategy|Management
2022-06-01,1748,39,Colony Sim|Base Building|Survival|Strategy|Management
2022-07-01,2107,37,Colony Sim|Base Building|Survival|Strategy|Management
2022-08-01,2042,53,Colony Sim|Base Building|Survival|Strategy|Management
2022-09-01,1629,39,Colony Sim|Base Building|Survival|Strategy|Management
2022-10-01,3410,113,Colony Sim|Base Building|Survival|Strategy|Management
2022-11-01,4505,149,Colony Sim|Base Building|Survival|Strategy|Management
2022-12-01,2261,103,Colony Sim|Base Building|Survival|Strategy|Management
2023-01-01,2360,86,Colony Sim|Base Building|Survival|Strategy|Management
2023-02-01,1596,58,Colony Sim|Base Building|Survival|Strategy|Management
2023-03-01,1555,63,Colony Sim|Base Building|Survival|Strategy|Management
2023-04-01,1473,49,Colony Sim|Base Building|Survival|Strategy|Management
2023-05-01,1527,30,Colony Sim|Base Building|Survival|Strategy|Management
2023-06-01,1329,35,Colony Sim|Base Building|Survival|Strategy|Management
2023-07-01,1960,73,Colony Sim|Base Building|Survival|Strategy|Management
2023-08-01,1759,52,Colony Sim|Base Building|Survival|Strategy|Management
2023-09-01,1354,38,Colony Sim|Base Building|Survival|Strategy|Management
2023-10-01,1490,52,Colony Sim|Base Building|Survival|Strategy|Management
2023-11-01,3567,63,Colony Sim|Base Building|Survival|Strategy|Management
2023-12-01,1793,52,Colony Sim|Base Building|Survival|Strategy|Management
2024-01-01,1696,42,Colony Sim|Base Building|Survival|Strategy|Management
2024-02-01,1375,31,Colony Sim|Base Building|Survival|Strategy|Management
2024-03-01,2071,69,Colony Sim|Base Building|Survival|Strategy|Management
2024-04-01,3161,141,Colony Sim|Base Building|Survival|Strategy|Management
2024-05-01,2059,72,Colony Sim|Base Building|Survival|Strategy|Management
2024-06-01,1507,65,Colony Sim|Base Building|Survival|Strategy|Management
2024-07-01,1986,76,Colony Sim|Base Building|Survival|Strategy|Management
2024-08-01,1607,55,Colony Sim|Base Building|Survival|Strategy|Management
2024-09-01,1285,47,Colony Sim|Base Building|Survival|Strategy|Management
2024-10-01,1559,47,Colony Sim|Base Building|Survival|Strategy|Management
2024-11-01,2543,43,Colony Sim|Base Building|Survival|Strategy|Management
2024-12-01,2103,59,Colony Sim|Base Building|Survival|Strategy|Management
2025-01-01,1831,77,Colony Sim|Base Building|Survival|Strategy|Management
2025-02-01,1652,41,Colony Sim|Base Building|Survival|Strategy|Management
2025-03-01,1835,70,Colony Sim|Base Building|Survival|Strategy|Management
2025-04-01,1557,55,Colony Sim|Base Building|Survival|Strategy|Management
2025-05-01,1580,54,Colony Sim|Base Building|Survival|Strategy|Management
2025-06-01,2091,77,Colony Sim|Base Building|Survival|Strategy|Management
2025-07-01,4163,169,Colony Sim|Base Building|Survival|Strategy|Management
2025-08-01,2416,90,Colony Sim|Base Building|Survival|Strategy|Management
2025-09-01,1490,62,Colony Sim|Base Building|Survival|Strategy|Management
2025-10-01,1700,63,Colony Sim|Base Building|Survival|Strategy|Management
2025-11-01,3846,53,Colony Sim|Base Building|Survival|Strategy|Management
2025-12-01,1909,60,Colony Sim|Base Building|Survival|Strategy|Management
2026-01-01,1944,78,Colony Sim|Base Building|Survival|Strategy|Management
2026-02-01,1729,55,Colony Sim|Base Building|Survival|Strategy|Management
2026-03-01,1761,50,Colony Sim|Base Building|Survival|Strategy|Management
2026-04-01,1646,72,Colony Sim|Base Building|Survival|Strategy|Management
2026-05-01,942,30,Colony Sim|Base Building|Survival|Strategy|Management
