Date,Positive_Reviews,Negative_Reviews,Top_Tags
2019-03-01,5385,160,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2019-04-01,7220,433,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2019-05-01,1650,136,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2019-06-01,4664,95,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2019-07-01,4789,71,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2019-08-01,456,61,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2019-09-01,710,76,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2019-10-01,759,52,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2019-11-01,6937,46,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2019-12-01,6098,135,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2020-01-01,4300,179,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2020-02-01,2522,133,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2020-03-01,2427,68,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2020-04-01,6176,170,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2020-05-01,1895,58,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2020-06-01,1429,58,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2020-07-01,2189,86,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2020-08-01,9200,612,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2020-09-01,3833,119,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2020-10-01,1821,57,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2020-11-01,9898,85,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2020-12-01,2868,93,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2021-01-01,2840,97,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2021-02-01,1690,58,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2021-03-01,3032,110,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2021-04-01,2932,121,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2021-05-01,1651,57,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2021-06-01,1836,86,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2021-07-01,2669,125,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2021-08-01,1780,84,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2021-09-01,1420,40,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2021-10-01,1363,41,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2021-11-01,3406,130,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2021-12-01,2428,93,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2022-01-01,2888,140,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2022-02-01,2405,80,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2022-03-01,6795,352,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2022-04-01,2631,112,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2022-05-01,1975,95,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2022-06-01,2828,188,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2022-07-01,2577,149,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2022-08-01,1546,70,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2022-09-01,1770,121,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2022-10-01,1183,52,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2022-11-01,3075,305,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2022-12-01,2349,143,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2023-01-01,3156,196,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2023-02-01,1660,85,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2023-03-01,1849,99,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2023-04-01,1406,56,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2023-05-01,1174,54,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2023-06-01,1861,108,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2023-07-01,3242,176,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2023-08-01,1655,74,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
2023-09-01,1416,53,Third-Person Shooter|Action Roguelike|Multiplayer|Co-op|Roguelite
