Date,Positive_Reviews,Negative_Reviews,Top_Tags
2020-06-01,7711,302,Base Building|Automation|Open World|Crafting|Multiplayer
2020-07-01,5852,150,Base Building|Automation|Open World|Crafting|Multiplayer
2020-08-01,3404,109,Base Building|Automation|Open World|Crafting|Multiplayer
2020-09-01,2500,79,Base Building|Automation|Open World|Crafting|Multiplayer
2020-10-01,2387,70,Base Building|Automation|Open World|Crafting|Multiplayer
2020-11-01,7549,90,Base Building|Automation|Open World|Crafting|Multiplayer
2020-12-01,4269,110,Base Building|Automation|Open World|Crafting|Multiplayer
2021-01-01,3997,110,Base Building|Automation|Open World|Crafting|Multiplayer
2021-02-01,2540,70,Base Building|Automation|Open World|Crafting|Multiplayer
2021-03-01,3093,80,Base Building|Automation|Open World|Crafting|Multiplayer
2021-04-01,4166,152,Base Building|Automation|Open World|Crafting|Multiplayer
2021-05-01,2771,110,Base Building|Automation|Open World|Crafting|Multiplayer
2021-06-01,2299,66,Base Building|Automation|Open World|Crafting|Multiplayer
2021-07-01,2223,75,Base Building|Automation|Open World|Crafting|Multiplayer
2021-08-01,1857,72,Base Building|Automation|Open World|Crafting|Multiplayer
2021-09-01,2294,61,Base Building|Automation|Open World|Crafting|Multiplayer
2021-10-01,2452,60,Base Building|Automation|Open World|Crafting|Multiplayer
2021-11-01,6057,154,Base Building|Automation|Open World|Crafting|Multiplayer
2021-12-01,4050,164,Base Building|Automation|Open World|Crafting|Multiplayer
2022-01-01,3210,117,Base Building|Automation|Open World|Crafting|Multiplayer
2022-02-01,2289,106,Base Building|Automation|Open World|Crafting|Multiplayer
2022-03-01,1708,64,Base Building|Automation|Open World|Crafting|Multiplayer
2022-04-01,1801,61,Base Building|Automation|Open World|Crafting|Multiplayer
2022-05-01,1877,61,Base Building|Automation|Open World|Crafting|Multiplayer
2022-06-01,2257,63,Base Building|Automation|Open World|Crafting|Multiplayer
2022-07-01,3192,154,Base Building|Automation|Open World|Crafting|Multiplayer
2022-08-01,2004,82,Base Building|Automation|Open World|Crafting|Multiplayer
2022-09-01,2542,80,Base Building|Automation|Open World|Crafting|Multiplayer
2022-10-01,1826,84,Base Building|Automation|Open World|Crafting|Multiplayer
2022-11-01,3437,86,Base Building|Automation|Open World|Crafting|Multiplayer
2022-12-01,3266,143,Base Building|Automation|Open World|Crafting|Multiplayer
2023-01-01,3304,128,Base Building|Automation|Open World|Crafting|Multiplayer
2023-02-01,2183,92,Base Building|Automation|Open World|Crafting|Multiplayer
2023-03-01,2492,134,Base Building|Automation|Open World|Crafting|Multiplayer
2023-04-01,1948,69,Base Building|Automation|Open World|Crafting|Multiplayer
2023-05-01,1620,65,Base Building|Automation|Open World|Crafting|Multiplayer
2023-06-01,1946,77,Base Building|Automation|Open World|Crafting|Multiplayer
2023-07-01,2758,125,Base Building|Automation|Open World|Crafting|Multiplayer
2023-08-01,1511,69,Base Building|Automation|Open World|Crafting|Multiplayer
2023-09-01,1268,39,Base Building|Automation|Open World|Crafting|Multiplayer
2023-10-01,1306,43,Base Building|Automation|Open World|Crafting|Multiplayer
2023-11-01,4674,188,Base Building|Automation|Open World|Crafting|Multiplayer
2023-12-01,2468,157,Base Building|Automation|Open World|Crafting|Multiplayer
2024-01-01,2188,115,Base Building|Automation|Open World|Crafting|Multiplayer
2024-02-01,1404,70,Base Building|Automation|Open World|Crafting|Multiplayer
2024-03-01,1844,95,Base Building|Automation|Open World|Crafting|Multiplayer
2024-04-01,2041,110,Base Building|Automation|Open World|Crafting|Multiplayer
2024-05-01,1415,63,Base Building|Automation|Open World|Crafting|Multiplayer
2024-06-01,1678,97,Base Building|Automation|Open World|Crafting|Multiplayer
2024-07-01,2454,112,Base Building|Automation|Open World|Crafting|Multiplayer
2024-08-01,1506,48,Base Building|Automation|Open World|Crafting|Multiplayer
2024-09-01,13969,929,Base Building|Automation|Open World|Crafting|Multiplayer
2024-10-01,6710,289,Base Building|Automation|Open World|Crafting|Multiplayer
2024-11-01,12667,126,Base Building|Automation|Open World|Crafting|Multiplayer
2024-12-01,7279,136,Base Building|Automation|Open World|Crafting|Multiplayer
2025-01-01,2706,121,Base Building|Automation|Open World|Crafting|Multiplayer
2025-02-01,1860,79,Base Building|Automation|Open World|Crafting|Multiplayer
2025-03-01,2809,119,Base Building|Automation|Open World|Crafting|Multiplayer
2025-04-01,2584,66,Base Building|Automation|Open World|Crafting|Multiplayer
2025-05-01,1906,62,Base Building|Automation|Open World|Crafting|Multiplayer
2025-06-01,3134,125,Base Building|Automation|Open World|Crafting|Multiplayer
2025-07-01,3479,142,Base Building|Automation|Open World|Crafting|Multiplayer
2025-08-01,2509,81,Base Building|Automation|Open World|Crafting|Multiplayer
2025-09-01,2303,62,Base Building|Automation|Open World|Crafting|Multiplayer
2025-10-01,2269,93,Base Building|Automation|Open World|Crafting|Multiplayer
2025-11-01,4266,80,Base Building|Automation|Open World|Crafting|Multiplayer
2025-12-01,2818,110,Base Building|Automation|Open World|Crafting|Multiplayer
2026-01-01,2703,112,Base Building|Automation|Open World|Crafting|Multiplayer
2026-02-01,1992,79,Base Building|Automation|Open World|Crafting|Multiplayer
2026-03-01,3195,100,Base Building|Automation|Open World|Crafting|Multiplayer
2026-04-01,2523,92,Base Building|Automation|Open World|Crafting|Multiplayer
2026-05-01,1327,38,Base Building|Automation|Open World|Crafting|Multiplayer
