Date,Positive_Reviews,Negative_Reviews,Top_Tags
2016-10-01,4629,1507,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2016-11-01,5909,957,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2016-12-01,878,480,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2017-01-01,640,458,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2017-02-01,668,567,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2017-03-01,432,375,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2017-04-01,260,171,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2017-05-01,319,231,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2017-06-01,418,244,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2017-07-01,531,307,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2017-08-01,276,183,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2017-09-01,234,172,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2017-10-01,389,307,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2017-11-01,1478,424,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2017-12-01,485,326,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2018-01-01,451,227,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2018-02-01,633,497,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2018-03-01,363,211,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2018-04-01,189,91,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2018-05-01,242,182,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2018-06-01,296,409,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2018-07-01,339,365,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2018-08-01,229,107,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2018-09-01,242,145,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2018-10-01,265,126,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2018-11-01,1984,292,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2018-12-01,487,265,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2019-01-01,405,193,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2019-02-01,834,604,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2019-03-01,431,226,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2019-04-01,239,121,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2019-05-01,362,163,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2019-06-01,1482,189,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2019-07-01,2186,233,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2019-08-01,224,97,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2019-09-01,241,121,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2019-10-01,887,242,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2019-11-01,4854,222,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
2019-12-01,4919,350,Strategy|Turn-Based Strategy|Multiplayer|Historical|Grand Strategy
