Date,Positive_Reviews,Negative_Reviews,Top_Tags
2016-02-01,1701,15,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2016-03-01,10088,137,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2016-04-01,3269,72,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2016-05-01,1713,44,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2016-06-01,1813,47,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2016-07-01,1940,54,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2016-08-01,990,19,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2016-09-01,816,10,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2016-10-01,1167,36,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2016-11-01,9847,47,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2016-12-01,2022,78,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2017-01-01,1952,76,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2017-02-01,1723,52,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2017-03-01,1497,64,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2017-04-01,1236,46,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2017-05-01,1222,64,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2017-06-01,2374,103,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2017-07-01,3887,169,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2017-08-01,1268,49,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2017-09-01,1022,30,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2017-10-01,1128,45,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2017-11-01,10018,83,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2017-12-01,1875,52,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2018-01-01,1983,73,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2018-02-01,1228,50,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2018-03-01,979,44,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2018-04-01,951,32,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2018-05-01,2900,139,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2018-06-01,2040,130,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2018-07-01,1985,90,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2018-08-01,2159,158,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2018-09-01,988,76,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2018-10-01,925,66,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2018-11-01,7891,69,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2018-12-01,1671,91,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2019-01-01,1739,113,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2019-02-01,1243,73,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2019-03-01,1406,80,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2019-04-01,1041,67,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2019-05-01,1177,57,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2019-06-01,12757,129,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2019-07-01,12824,169,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2019-08-01,864,70,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2019-09-01,761,53,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2019-10-01,1387,45,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2019-11-01,13438,81,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2019-12-01,14063,198,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2020-01-01,9770,201,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2020-02-01,8299,294,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2020-03-01,9248,179,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2020-04-01,8528,154,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2020-05-01,6003,100,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2020-06-01,5485,125,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
2020-07-01,8301,226,Farming Sim|Pixel Graphics|Multiplayer|Life Sim|RPG
