Date,Price
2016-02-26,479.0
2016-06-23,479.0
2016-07-04,479.0
2016-11-23,479.0
2016-11-24,479.0
2016-11-30,479.0
2016-12-01,479.0
2016-12-03,479.0
2016-12-22,479.0
2017-01-02,479.0
2017-02-28,479.0
2017-03-03,479.0
2017-06-22,479.0
2017-07-05,479.0
2017-07-06,479.0
2017-07-10,479.0
2017-11-22,479.0
2017-11-28,479.0
2017-12-21,479.0
2018-01-04,479.0
2018-02-15,479.0
2018-02-19,479.0
2018-06-21,479.0
2018-07-05,479.0
2018-10-31,479.0
2018-11-01,479.0
2018-12-20,479.0
2019-01-03,479.0
2019-06-25,479.0
2019-07-09,479.0
2019-11-11,479.0
2019-11-12,479.0
2019-11-26,479.0
2019-12-03,479.0
2019-12-19,479.0
2020-01-02,479.0
2020-01-23,479.0
2020-01-27,479.0
2020-06-25,479.0
2020-07-09,479.0
2020-08-09,479.0
2020-08-15,479.0
2020-10-29,479.0
2020-11-02,479.0
2020-11-25,479.0
2020-12-01,479.0
2020-12-21,479.0
2021-01-05,479.0
