Date,Positive_Reviews,Negative_Reviews,Top_Tags
2023-09-01,47326,15391,General
2023-10-01,5976,5091,General
2023-11-01,5394,3791,General
2023-12-01,2195,5271,General
2024-01-01,1565,3170,General
2024-02-01,659,934,General
2024-03-01,833,1204,General
2024-04-01,468,629,General
2024-05-01,701,676,General
2024-06-01,728,2216,General
2024-07-01,541,531,General
2024-08-01,670,558,General
2024-09-01,619,454,General
2024-10-01,601,797,General
2024-11-01,403,313,General
2024-12-01,466,336,General
2025-01-01,343,299,General
2025-02-01,220,195,General
2025-03-01,256,244,General
2025-04-01,245,208,General
2025-05-01,280,210,General
2025-06-01,219,201,General
2025-07-01,319,226,General
2025-08-01,373,279,General
2025-09-01,229,275,General
2025-10-01,241,177,General
2025-11-01,191,165,General
2025-12-01,262,205,General
2026-01-01,285,241,General
2026-02-01,202,142,General
2026-03-01,376,172,General
2026-04-01,939,526,General
2026-05-01,225,117,General
