Date,Positive_Reviews,Negative_Reviews,Top_Tags
2016-05-01,3795,534,Space|Strategy|Grand Strategy|Sci-fi|4X
2016-06-01,644,148,Space|Strategy|Grand Strategy|Sci-fi|4X
2016-07-01,429,70,Space|Strategy|Grand Strategy|Sci-fi|4X
2016-08-01,343,65,Space|Strategy|Grand Strategy|Sci-fi|4X
2016-09-01,307,54,Space|Strategy|Grand Strategy|Sci-fi|4X
2016-10-01,485,66,Space|Strategy|Grand Strategy|Sci-fi|4X
2016-11-01,1358,97,Space|Strategy|Grand Strategy|Sci-fi|4X
2016-12-01,593,85,Space|Strategy|Grand Strategy|Sci-fi|4X
2017-01-01,497,76,Space|Strategy|Grand Strategy|Sci-fi|4X
2017-02-01,338,56,Space|Strategy|Grand Strategy|Sci-fi|4X
2017-03-01,267,37,Space|Strategy|Grand Strategy|Sci-fi|4X
2017-04-01,749,112,Space|Strategy|Grand Strategy|Sci-fi|4X
2017-05-01,670,133,Space|Strategy|Grand Strategy|Sci-fi|4X
2017-06-01,593,209,Space|Strategy|Grand Strategy|Sci-fi|4X
2017-07-01,399,117,Space|Strategy|Grand Strategy|Sci-fi|4X
2017-08-01,241,54,Space|Strategy|Grand Strategy|Sci-fi|4X
2017-09-01,514,107,Space|Strategy|Grand Strategy|Sci-fi|4X
2017-10-01,446,86,Space|Strategy|Grand Strategy|Sci-fi|4X
2017-11-01,1981,149,Space|Strategy|Grand Strategy|Sci-fi|4X
2017-12-01,537,97,Space|Strategy|Grand Strategy|Sci-fi|4X
2018-01-01,501,82,Space|Strategy|Grand Strategy|Sci-fi|4X
2018-02-01,1223,456,Space|Strategy|Grand Strategy|Sci-fi|4X
2018-03-01,770,353,Space|Strategy|Grand Strategy|Sci-fi|4X
2018-04-01,455,357,Space|Strategy|Grand Strategy|Sci-fi|4X
2018-05-01,1035,695,Space|Strategy|Grand Strategy|Sci-fi|4X
2018-06-01,452,231,Space|Strategy|Grand Strategy|Sci-fi|4X
2018-07-01,390,195,Space|Strategy|Grand Strategy|Sci-fi|4X
