Date,Positive_Reviews,Negative_Reviews,Top_Tags
2022-07-01,53562,1264,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2022-08-01,14961,519,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2022-09-01,3687,119,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2022-10-01,3726,150,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2022-11-01,14937,159,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2022-12-01,4396,209,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2023-01-01,3866,179,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2023-02-01,1834,66,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2023-03-01,1848,72,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2023-04-01,1348,45,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2023-05-01,1324,49,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2023-06-01,1090,47,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2023-07-01,2217,90,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2023-08-01,1875,76,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2023-09-01,1326,64,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2023-10-01,1183,35,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2023-11-01,2032,53,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2023-12-01,2484,95,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2024-01-01,1929,50,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2024-02-01,1367,49,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2024-03-01,1480,47,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2024-04-01,1280,40,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2024-05-01,1156,35,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2024-06-01,1397,51,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2024-07-01,1876,67,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2024-08-01,1741,56,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2024-09-01,871,35,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2024-10-01,754,30,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2024-11-01,1251,36,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2024-12-01,2093,80,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2025-01-01,1804,57,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2025-02-01,1072,38,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2025-03-01,1547,45,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2025-04-01,1199,43,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2025-05-01,908,33,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2025-06-01,1260,45,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2025-07-01,1630,59,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2025-08-01,1024,31,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2025-09-01,1046,41,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2025-10-01,1278,54,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2025-11-01,1016,40,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2025-12-01,1385,47,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2026-01-01,1680,51,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2026-02-01,862,36,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2026-03-01,1285,38,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2026-04-01,1105,27,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
2026-05-01,451,21,Cats|Adventure|Atmospheric|Cyberpunk|Singleplayer
