Date,Price
2015-09-15,369.0
2015-12-22,369.0
2016-01-04,369.0
2016-02-05,369.0
2016-02-12,369.0
2016-06-23,369.0
2016-07-04,369.0
2016-07-14,369.0
2016-07-18,369.0
2016-11-23,369.0
2016-12-01,369.0
2016-12-22,369.0
2017-01-02,369.0
2017-01-11,369.0
2017-01-13,369.0
2017-10-26,369.0
2017-11-01,369.0
2017-11-22,369.0
2017-11-28,369.0
2017-12-21,369.0
2018-01-04,369.0
2018-01-11,369.0
2018-01-15,369.0
2018-02-15,369.0
2018-02-19,369.0
2018-06-21,369.0
2018-07-05,369.0
2018-09-11,369.0
2018-09-18,369.0
2018-12-20,369.0
2019-01-03,369.0
2019-02-04,369.0
2019-02-11,369.0
2019-03-20,369.0
2019-03-22,369.0
2019-06-25,369.0
2019-07-09,369.0
2019-11-26,369.0
2019-12-03,369.0
2019-12-19,369.0
2020-01-02,369.0
2020-06-25,369.0
2020-07-09,369.0
2020-12-22,369.0
2021-01-05,369.0
2021-01-15,369.0
2021-01-17,369.0
