Date,Positive_Reviews,Negative_Reviews,Top_Tags
2015-09-01,1765,21,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2015-10-01,4598,77,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2015-11-01,4562,65,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2015-12-01,4821,173,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2016-01-01,5676,209,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2016-02-01,4368,154,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2016-03-01,2849,110,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2016-04-01,2154,92,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2016-05-01,1849,91,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2016-06-01,2031,104,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2016-07-01,2508,138,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2016-08-01,1410,71,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2016-09-01,1081,72,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2016-10-01,972,53,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2016-11-01,5902,105,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2016-12-01,1806,101,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2017-01-01,2409,168,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2017-02-01,1578,76,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2017-03-01,1145,44,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2017-04-01,933,41,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2017-05-01,770,43,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2017-06-01,1088,62,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2017-07-01,1019,56,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2017-08-01,954,51,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2017-09-01,788,42,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2017-10-01,823,53,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2017-11-01,3065,71,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2017-12-01,1038,84,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2018-01-01,1508,118,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2018-02-01,774,44,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2018-03-01,668,54,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2018-04-01,508,35,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2018-05-01,522,36,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2018-06-01,682,55,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2018-07-01,714,45,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2018-08-01,488,27,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2018-09-01,593,44,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2018-10-01,495,30,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2018-11-01,2225,46,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2018-12-01,905,50,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2019-01-01,882,51,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2019-02-01,680,51,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2019-03-01,653,34,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2019-04-01,449,25,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2019-05-01,452,24,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2019-06-01,1101,50,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2019-07-01,1451,59,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2019-08-01,445,27,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2019-09-01,408,28,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2019-10-01,567,20,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2019-11-01,2784,35,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
2019-12-01,2875,60,Great Soundtrack|Story Rich|Choices Matter|Multiple Endings|Pixel Graphics
