Date,Price
2024-05-14,264
2024-05-28,529
2024-06-27,264
2024-07-11,529
2024-07-15,264
2024-07-29,529
2024-10-22,264
2024-10-24,529
2024-10-28,264
2024-11-03,529
2024-11-27,264
2024-12-04,529
2024-12-13,264
2025-01-03,529
2025-01-28,264
2025-02-03,529
2025-03-13,264
2025-03-31,529
2025-05-22,1099
2025-06-26,549
2025-06-27,549
2025-07-10,1099
2025-09-08,549
2025-09-15,1099
2025-09-29,549
2025-10-06,1099
2025-10-21,549
2025-11-04,1099
2025-12-18,549
2026-01-05,1099
2026-01-20,549
2026-02-03,1099
2026-03-05,549
2026-03-26,1099
2026-04-16,1099
