Date,Positive_Reviews,Negative_Reviews,Top_Tags
2020-10-01,19543,2618,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2020-11-01,4980,452,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2020-12-01,1747,223,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2021-01-01,1195,189,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2021-02-01,1263,175,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2021-03-01,1679,219,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2021-04-01,935,155,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2021-05-01,767,145,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2021-06-01,575,134,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2021-07-01,1008,162,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2021-08-01,810,171,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2021-09-01,671,138,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2021-10-01,1277,196,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2021-11-01,837,131,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2021-12-01,554,113,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2022-01-01,600,153,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2022-02-01,723,161,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2022-03-01,453,104,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2022-04-01,405,123,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2022-05-01,373,108,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2022-06-01,380,147,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2022-07-01,964,234,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2022-08-01,631,121,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2022-09-01,465,106,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2022-10-01,455,158,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2022-11-01,529,119,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2022-12-01,941,116,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2023-01-01,959,107,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2023-02-01,752,82,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2023-03-01,985,105,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2023-04-01,895,82,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2023-05-01,793,75,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2023-06-01,980,78,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2023-07-01,8513,386,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2023-08-01,174597,7370,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2023-09-01,66975,2395,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2023-10-01,29420,1081,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2023-11-01,87425,1167,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2023-12-01,31852,1282,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2024-01-01,29493,1249,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2024-02-01,18164,801,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2024-03-01,14453,715,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2024-04-01,9897,443,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2024-05-01,9534,420,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2024-06-01,8741,388,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
2024-07-01,10734,519,RPG|Character Customization|Choices Matter|Story Rich|Turn-Based Combat
