Date,Positive_Reviews,Negative_Reviews,Top_Tags
2013-12-01,7911,1123,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2014-01-01,10809,1522,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2014-02-01,6114,1089,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2014-03-01,4184,843,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2014-04-01,3817,799,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2014-05-01,3639,839,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2014-06-01,5277,1226,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2014-07-01,3764,1002,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2014-08-01,3289,1181,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2014-09-01,2139,861,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2014-10-01,1681,786,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2014-11-01,2275,1319,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2014-12-01,3023,1505,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2015-01-01,2869,1602,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2015-02-01,1899,1012,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2015-03-01,1716,947,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2015-04-01,1399,1166,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2015-05-01,1145,1215,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2015-06-01,1456,1727,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2015-07-01,1213,1165,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2015-08-01,1255,1217,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2015-09-01,756,915,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2015-10-01,731,1016,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2015-11-01,773,1205,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2015-12-01,1222,1735,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2016-01-01,1120,1289,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2016-02-01,935,1005,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2016-03-01,842,903,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2016-04-01,618,756,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2016-05-01,823,883,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2016-06-01,1222,1223,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2016-07-01,905,740,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2016-08-01,564,616,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2016-09-01,429,609,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2016-10-01,473,582,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2016-11-01,2004,1101,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2016-12-01,721,903,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2017-01-01,835,1046,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2017-02-01,722,939,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2017-03-01,583,790,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2017-04-01,484,951,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2017-05-01,484,999,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2017-06-01,690,992,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2017-07-01,614,1229,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2017-08-01,450,819,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2017-09-01,351,719,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2017-10-01,382,630,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2017-11-01,1103,796,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2017-12-01,486,868,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2018-01-01,419,663,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2018-02-01,286,520,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2018-03-01,332,491,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2018-04-01,307,421,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2018-05-01,309,387,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2018-06-01,414,478,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2018-07-01,255,369,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2018-08-01,196,358,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2018-09-01,239,374,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2018-10-01,176,234,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2018-11-01,2116,709,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2018-12-01,1450,2004,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2019-01-01,537,502,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2019-02-01,292,241,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2019-03-01,249,167,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2019-04-01,267,197,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2019-05-01,497,295,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2019-06-01,1476,417,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2019-07-01,1988,407,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2019-08-01,345,156,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2019-09-01,306,182,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2019-10-01,688,196,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2019-11-01,5579,507,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2019-12-01,3748,891,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2020-01-01,2535,837,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2020-02-01,2408,1145,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2020-03-01,1667,487,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2020-04-01,2128,544,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2020-05-01,1813,534,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2020-06-01,1743,299,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2020-07-01,1799,360,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2020-08-01,1228,269,Survival|Open World|Online Co-Op|Zombies|Multiplayer
2020-09-01,2246,499,Survival|Open World|Online Co-Op|Zombies|Multiplayer
