Date,Positive_Reviews,Negative_Reviews,Top_Tags
2016-06-01,4491,1502,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2016-07-01,3686,1445,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2016-08-01,4244,1345,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2016-09-01,1966,713,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2016-10-01,1842,690,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2016-11-01,6076,1010,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2016-12-01,3940,1398,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2017-01-01,3138,1500,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2017-02-01,2384,995,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2017-03-01,1796,601,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2017-04-01,1245,328,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2017-05-01,1706,374,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2017-06-01,2554,603,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2017-07-01,2444,661,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2017-08-01,1686,510,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2017-09-01,2747,746,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2017-10-01,2544,737,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2017-11-01,6983,996,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2017-12-01,2472,565,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2018-01-01,2608,637,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2018-02-01,2158,530,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2018-03-01,1605,475,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2018-04-01,1366,454,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2018-05-01,2107,585,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2018-06-01,2973,984,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2018-07-01,2677,1487,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2018-08-01,1764,749,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2018-09-01,2249,663,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2018-10-01,1893,677,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2018-11-01,7925,903,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2018-12-01,2187,665,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2019-01-01,2574,807,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2019-02-01,1778,557,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2019-03-01,1484,1031,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2019-04-01,1684,907,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2019-05-01,1658,580,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2019-06-01,8239,1079,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2019-07-01,8198,981,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2019-08-01,1341,498,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2019-09-01,1752,581,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2019-10-01,3588,725,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2019-11-01,12694,1540,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2019-12-01,8659,1167,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2020-01-01,7706,1312,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2020-02-01,4986,1099,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2020-03-01,7668,1376,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2020-04-01,7376,1279,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2020-05-01,6705,1102,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2020-06-01,10134,1381,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2020-07-01,11281,1402,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2020-08-01,10025,2002,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2020-09-01,8775,1242,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2020-10-01,5805,909,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2020-11-01,11825,1216,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2020-12-01,8095,1301,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2021-01-01,6915,1126,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2021-02-01,6215,3404,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2021-03-01,5471,1118,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2021-04-01,7635,1238,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2021-05-01,7405,1219,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2021-06-01,9254,1562,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2021-07-01,11066,1817,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2021-08-01,8445,1600,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2021-09-01,9964,2133,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2021-10-01,8283,2651,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2021-11-01,10099,1790,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2021-12-01,7440,1824,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2022-01-01,5464,1639,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2022-02-01,3979,1139,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2022-03-01,3783,1131,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2022-04-01,2599,818,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2022-05-01,3280,852,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2022-06-01,5189,991,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2022-07-01,4787,1563,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2022-08-01,3989,1080,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2022-09-01,3809,953,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2022-10-01,3539,798,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2022-11-01,5660,785,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2022-12-01,3470,704,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2023-01-01,4146,743,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2023-02-01,2643,668,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2023-03-01,3822,5203,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
2023-04-01,2925,3422,Horror|Multiplayer|Survival Horror|Online Co-Op|Co-op
