Date,Positive_Reviews,Negative_Reviews,Top_Tags
2022-01-01,22170,730,Action|Singleplayer|Story Rich|Mythology|Adventure
2022-02-01,6495,253,Action|Singleplayer|Story Rich|Mythology|Adventure
2022-03-01,2133,89,Action|Singleplayer|Story Rich|Mythology|Adventure
2022-04-01,1269,48,Action|Singleplayer|Story Rich|Mythology|Adventure
2022-05-01,1028,46,Action|Singleplayer|Story Rich|Mythology|Adventure
2022-06-01,1540,74,Action|Singleplayer|Story Rich|Mythology|Adventure
2022-07-01,2482,88,Action|Singleplayer|Story Rich|Mythology|Adventure
2022-08-01,1474,71,Action|Singleplayer|Story Rich|Mythology|Adventure
2022-09-01,1842,68,Action|Singleplayer|Story Rich|Mythology|Adventure
2022-10-01,1790,64,Action|Singleplayer|Story Rich|Mythology|Adventure
2022-11-01,8896,154,Action|Singleplayer|Story Rich|Mythology|Adventure
2022-12-01,6510,244,Action|Singleplayer|Story Rich|Mythology|Adventure
2023-01-01,5608,236,Action|Singleplayer|Story Rich|Mythology|Adventure
2023-02-01,2558,124,Action|Singleplayer|Story Rich|Mythology|Adventure
2023-03-01,2034,116,Action|Singleplayer|Story Rich|Mythology|Adventure
2023-04-01,1711,84,Action|Singleplayer|Story Rich|Mythology|Adventure
2023-05-01,998,54,Action|Singleplayer|Story Rich|Mythology|Adventure
2023-06-01,1707,82,Action|Singleplayer|Story Rich|Mythology|Adventure
2023-07-01,2243,105,Action|Singleplayer|Story Rich|Mythology|Adventure
2023-08-01,1197,64,Action|Singleplayer|Story Rich|Mythology|Adventure
2023-09-01,1523,77,Action|Singleplayer|Story Rich|Mythology|Adventure
2023-10-01,949,28,Action|Singleplayer|Story Rich|Mythology|Adventure
2023-11-01,1297,51,Action|Singleplayer|Story Rich|Mythology|Adventure
2023-12-01,3413,150,Action|Singleplayer|Story Rich|Mythology|Adventure
2024-01-01,2975,109,Action|Singleplayer|Story Rich|Mythology|Adventure
2024-02-01,1703,97,Action|Singleplayer|Story Rich|Mythology|Adventure
2024-03-01,1697,91,Action|Singleplayer|Story Rich|Mythology|Adventure
2024-04-01,1187,53,Action|Singleplayer|Story Rich|Mythology|Adventure
2024-05-01,915,210,Action|Singleplayer|Story Rich|Mythology|Adventure
2024-06-01,1002,83,Action|Singleplayer|Story Rich|Mythology|Adventure
2024-07-01,1690,107,Action|Singleplayer|Story Rich|Mythology|Adventure
2024-08-01,2534,178,Action|Singleplayer|Story Rich|Mythology|Adventure
2024-09-01,2827,302,Action|Singleplayer|Story Rich|Mythology|Adventure
2024-10-01,1587,128,Action|Singleplayer|Story Rich|Mythology|Adventure
2024-11-01,1018,81,Action|Singleplayer|Story Rich|Mythology|Adventure
2024-12-01,2341,162,Action|Singleplayer|Story Rich|Mythology|Adventure
2025-01-01,1956,112,Action|Singleplayer|Story Rich|Mythology|Adventure
2025-02-01,940,67,Action|Singleplayer|Story Rich|Mythology|Adventure
2025-03-01,1514,82,Action|Singleplayer|Story Rich|Mythology|Adventure
2025-04-01,973,50,Action|Singleplayer|Story Rich|Mythology|Adventure
2025-05-01,756,54,Action|Singleplayer|Story Rich|Mythology|Adventure
2025-06-01,753,54,Action|Singleplayer|Story Rich|Mythology|Adventure
2025-07-01,1770,93,Action|Singleplayer|Story Rich|Mythology|Adventure
2025-08-01,861,76,Action|Singleplayer|Story Rich|Mythology|Adventure
2025-09-01,654,38,Action|Singleplayer|Story Rich|Mythology|Adventure
2025-10-01,1318,66,Action|Singleplayer|Story Rich|Mythology|Adventure
2025-11-01,1480,74,Action|Singleplayer|Story Rich|Mythology|Adventure
2025-12-01,2277,102,Action|Singleplayer|Story Rich|Mythology|Adventure
2026-01-01,1856,85,Action|Singleplayer|Story Rich|Mythology|Adventure
2026-02-01,1724,89,Action|Singleplayer|Story Rich|Mythology|Adventure
2026-03-01,1637,78,Action|Singleplayer|Story Rich|Mythology|Adventure
2026-04-01,634,37,Action|Singleplayer|Story Rich|Mythology|Adventure
