Date,Positive_Reviews,Negative_Reviews,Top_Tags
2023-02-01,110771,8264,Magic|Open World|Fantasy|Singleplayer|Adventure
2023-03-01,18614,2221,Magic|Open World|Fantasy|Singleplayer|Adventure
2023-04-01,5048,897,Magic|Open World|Fantasy|Singleplayer|Adventure
2023-05-01,3226,584,Magic|Open World|Fantasy|Singleplayer|Adventure
2023-06-01,2402,368,Magic|Open World|Fantasy|Singleplayer|Adventure
2023-07-01,3229,504,Magic|Open World|Fantasy|Singleplayer|Adventure
2023-08-01,2008,364,Magic|Open World|Fantasy|Singleplayer|Adventure
2023-09-01,2635,412,Magic|Open World|Fantasy|Singleplayer|Adventure
2023-10-01,2045,329,Magic|Open World|Fantasy|Singleplayer|Adventure
2023-11-01,12093,548,Magic|Open World|Fantasy|Singleplayer|Adventure
2023-12-01,3918,581,Magic|Open World|Fantasy|Singleplayer|Adventure
2024-01-01,4179,501,Magic|Open World|Fantasy|Singleplayer|Adventure
2024-02-01,2467,371,Magic|Open World|Fantasy|Singleplayer|Adventure
2024-03-01,2290,385,Magic|Open World|Fantasy|Singleplayer|Adventure
2024-04-01,1979,342,Magic|Open World|Fantasy|Singleplayer|Adventure
2024-05-01,1389,224,Magic|Open World|Fantasy|Singleplayer|Adventure
2024-06-01,2554,1217,Magic|Open World|Fantasy|Singleplayer|Adventure
2024-07-01,3132,1223,Magic|Open World|Fantasy|Singleplayer|Adventure
2024-08-01,1696,306,Magic|Open World|Fantasy|Singleplayer|Adventure
2024-09-01,4117,624,Magic|Open World|Fantasy|Singleplayer|Adventure
2024-10-01,2456,373,Magic|Open World|Fantasy|Singleplayer|Adventure
2024-11-01,3699,477,Magic|Open World|Fantasy|Singleplayer|Adventure
2024-12-01,4984,703,Magic|Open World|Fantasy|Singleplayer|Adventure
2025-01-01,4173,621,Magic|Open World|Fantasy|Singleplayer|Adventure
2025-02-01,3135,808,Magic|Open World|Fantasy|Singleplayer|Adventure
2025-03-01,3337,540,Magic|Open World|Fantasy|Singleplayer|Adventure
2025-04-01,2365,438,Magic|Open World|Fantasy|Singleplayer|Adventure
2025-05-01,1968,348,Magic|Open World|Fantasy|Singleplayer|Adventure
2025-06-01,1807,331,Magic|Open World|Fantasy|Singleplayer|Adventure
2025-07-01,2608,424,Magic|Open World|Fantasy|Singleplayer|Adventure
2025-08-01,2087,355,Magic|Open World|Fantasy|Singleplayer|Adventure
2025-09-01,2565,426,Magic|Open World|Fantasy|Singleplayer|Adventure
2025-10-01,4940,746,Magic|Open World|Fantasy|Singleplayer|Adventure
2025-11-01,5533,529,Magic|Open World|Fantasy|Singleplayer|Adventure
2025-12-01,5471,922,Magic|Open World|Fantasy|Singleplayer|Adventure
2026-01-01,3357,529,Magic|Open World|Fantasy|Singleplayer|Adventure
2026-02-01,2039,304,Magic|Open World|Fantasy|Singleplayer|Adventure
2026-03-01,2027,338,Magic|Open World|Fantasy|Singleplayer|Adventure
2026-04-01,825,166,Magic|Open World|Fantasy|Singleplayer|Adventure
