Date,Positive_Reviews,Negative_Reviews,Top_Tags
2018-02-01,2889,1110,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2018-03-01,2588,869,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2018-04-01,600,275,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2018-05-01,836,255,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2018-06-01,1280,303,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2018-07-01,1014,286,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2018-08-01,1355,338,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2018-09-01,564,153,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2018-10-01,540,154,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2018-11-01,1930,191,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2018-12-01,772,262,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2019-01-01,484,158,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2019-02-01,371,100,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2019-03-01,326,93,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2019-04-01,228,61,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2019-05-01,343,100,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2019-06-01,1497,178,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2019-07-01,1442,152,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2019-08-01,1969,666,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2019-09-01,824,348,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2019-10-01,737,243,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2019-11-01,4050,247,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2019-12-01,2519,287,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2020-01-01,1568,203,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2020-02-01,2083,408,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2020-03-01,1770,276,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2020-04-01,1467,271,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2020-05-01,1347,223,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2020-06-01,1363,230,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
2020-07-01,1434,266,Open World|Extraction Shooter|Multiplayer|Atmospheric|Tactical
