Date,Positive_Reviews,Negative_Reviews,Top_Tags
2020-06-01,2398,190,Exploration|Space|Mystery|Story Rich|Adventure
2020-07-01,2743,136,Exploration|Space|Mystery|Story Rich|Adventure
2020-08-01,1020,54,Exploration|Space|Mystery|Story Rich|Adventure
2020-09-01,631,23,Exploration|Space|Mystery|Story Rich|Adventure
2020-10-01,1586,90,Exploration|Space|Mystery|Story Rich|Adventure
2020-11-01,2946,56,Exploration|Space|Mystery|Story Rich|Adventure
2020-12-01,1225,68,Exploration|Space|Mystery|Story Rich|Adventure
2021-01-01,1165,54,Exploration|Space|Mystery|Story Rich|Adventure
2021-02-01,837,43,Exploration|Space|Mystery|Story Rich|Adventure
2021-03-01,717,42,Exploration|Space|Mystery|Story Rich|Adventure
2021-04-01,588,42,Exploration|Space|Mystery|Story Rich|Adventure
2021-05-01,1001,73,Exploration|Space|Mystery|Story Rich|Adventure
2021-06-01,1034,73,Exploration|Space|Mystery|Story Rich|Adventure
2021-07-01,1160,89,Exploration|Space|Mystery|Story Rich|Adventure
2021-08-01,1043,57,Exploration|Space|Mystery|Story Rich|Adventure
2021-09-01,1173,47,Exploration|Space|Mystery|Story Rich|Adventure
2021-10-01,2637,104,Exploration|Space|Mystery|Story Rich|Adventure
2021-11-01,1636,61,Exploration|Space|Mystery|Story Rich|Adventure
2021-12-01,1393,89,Exploration|Space|Mystery|Story Rich|Adventure
2022-01-01,1580,81,Exploration|Space|Mystery|Story Rich|Adventure
2022-02-01,882,43,Exploration|Space|Mystery|Story Rich|Adventure
2022-03-01,625,38,Exploration|Space|Mystery|Story Rich|Adventure
2022-04-01,812,37,Exploration|Space|Mystery|Story Rich|Adventure
2022-05-01,918,62,Exploration|Space|Mystery|Story Rich|Adventure
2022-06-01,893,51,Exploration|Space|Mystery|Story Rich|Adventure
2022-07-01,1058,51,Exploration|Space|Mystery|Story Rich|Adventure
2022-08-01,897,36,Exploration|Space|Mystery|Story Rich|Adventure
2022-09-01,758,36,Exploration|Space|Mystery|Story Rich|Adventure
2022-10-01,662,39,Exploration|Space|Mystery|Story Rich|Adventure
2022-11-01,1043,64,Exploration|Space|Mystery|Story Rich|Adventure
2022-12-01,1021,54,Exploration|Space|Mystery|Story Rich|Adventure
2023-01-01,1143,56,Exploration|Space|Mystery|Story Rich|Adventure
2023-02-01,833,35,Exploration|Space|Mystery|Story Rich|Adventure
2023-03-01,894,47,Exploration|Space|Mystery|Story Rich|Adventure
2023-04-01,840,29,Exploration|Space|Mystery|Story Rich|Adventure
2023-05-01,953,60,Exploration|Space|Mystery|Story Rich|Adventure
2023-06-01,686,35,Exploration|Space|Mystery|Story Rich|Adventure
2023-07-01,1075,59,Exploration|Space|Mystery|Story Rich|Adventure
2023-08-01,932,39,Exploration|Space|Mystery|Story Rich|Adventure
2023-09-01,959,43,Exploration|Space|Mystery|Story Rich|Adventure
2023-10-01,836,35,Exploration|Space|Mystery|Story Rich|Adventure
2023-11-01,1086,52,Exploration|Space|Mystery|Story Rich|Adventure
2023-12-01,1205,69,Exploration|Space|Mystery|Story Rich|Adventure
2024-01-01,1386,69,Exploration|Space|Mystery|Story Rich|Adventure
2024-02-01,1083,60,Exploration|Space|Mystery|Story Rich|Adventure
2024-03-01,1051,64,Exploration|Space|Mystery|Story Rich|Adventure
2024-04-01,971,44,Exploration|Space|Mystery|Story Rich|Adventure
2024-05-01,970,48,Exploration|Space|Mystery|Story Rich|Adventure
2024-06-01,1085,54,Exploration|Space|Mystery|Story Rich|Adventure
2024-07-01,1351,89,Exploration|Space|Mystery|Story Rich|Adventure
2024-08-01,994,41,Exploration|Space|Mystery|Story Rich|Adventure
2024-09-01,985,41,Exploration|Space|Mystery|Story Rich|Adventure
2024-10-01,779,43,Exploration|Space|Mystery|Story Rich|Adventure
2024-11-01,1026,57,Exploration|Space|Mystery|Story Rich|Adventure
2024-12-01,1637,96,Exploration|Space|Mystery|Story Rich|Adventure
2025-01-01,1685,92,Exploration|Space|Mystery|Story Rich|Adventure
2025-02-01,1139,56,Exploration|Space|Mystery|Story Rich|Adventure
2025-03-01,1433,77,Exploration|Space|Mystery|Story Rich|Adventure
2025-04-01,1099,73,Exploration|Space|Mystery|Story Rich|Adventure
2025-05-01,952,46,Exploration|Space|Mystery|Story Rich|Adventure
2025-06-01,1141,62,Exploration|Space|Mystery|Story Rich|Adventure
2025-07-01,1565,93,Exploration|Space|Mystery|Story Rich|Adventure
2025-08-01,1210,65,Exploration|Space|Mystery|Story Rich|Adventure
2025-09-01,1017,62,Exploration|Space|Mystery|Story Rich|Adventure
2025-10-01,1169,68,Exploration|Space|Mystery|Story Rich|Adventure
2025-11-01,1013,46,Exploration|Space|Mystery|Story Rich|Adventure
2025-12-01,1165,66,Exploration|Space|Mystery|Story Rich|Adventure
2026-01-01,1397,73,Exploration|Space|Mystery|Story Rich|Adventure
2026-02-01,916,60,Exploration|Space|Mystery|Story Rich|Adventure
2026-03-01,1254,72,Exploration|Space|Mystery|Story Rich|Adventure
2026-04-01,616,36,Exploration|Space|Mystery|Story Rich|Adventure
