Date,Positive_Reviews,Negative_Reviews,Top_Tags
2023-11-01,3822,267,FPS|Action|First-Person|Singleplayer|Shooter
2023-12-01,903,95,FPS|Action|First-Person|Singleplayer|Shooter
2024-01-01,1034,131,FPS|Action|First-Person|Singleplayer|Shooter
2024-02-01,410,90,FPS|Action|First-Person|Singleplayer|Shooter
2024-03-01,624,115,FPS|Action|First-Person|Singleplayer|Shooter
2024-04-01,319,38,FPS|Action|First-Person|Singleplayer|Shooter
2024-05-01,209,29,FPS|Action|First-Person|Singleplayer|Shooter
2024-06-01,270,52,FPS|Action|First-Person|Singleplayer|Shooter
2024-07-01,437,75,FPS|Action|First-Person|Singleplayer|Shooter
2024-08-01,293,60,FPS|Action|First-Person|Singleplayer|Shooter
2024-09-01,332,96,FPS|Action|First-Person|Singleplayer|Shooter
2024-10-01,396,88,FPS|Action|First-Person|Singleplayer|Shooter
2024-11-01,253,30,FPS|Action|First-Person|Singleplayer|Shooter
2024-12-01,427,68,FPS|Action|First-Person|Singleplayer|Shooter
2025-01-01,336,50,FPS|Action|First-Person|Singleplayer|Shooter
2025-02-01,144,21,FPS|Action|First-Person|Singleplayer|Shooter
2025-03-01,2176,467,FPS|Action|First-Person|Singleplayer|Shooter
2025-04-01,1111,212,FPS|Action|First-Person|Singleplayer|Shooter
2025-05-01,680,124,FPS|Action|First-Person|Singleplayer|Shooter
2025-06-01,636,170,FPS|Action|First-Person|Singleplayer|Shooter
2025-07-01,2639,533,FPS|Action|First-Person|Singleplayer|Shooter
2025-08-01,905,169,FPS|Action|First-Person|Singleplayer|Shooter
2025-09-01,791,162,FPS|Action|First-Person|Singleplayer|Shooter
2025-10-01,621,108,FPS|Action|First-Person|Singleplayer|Shooter
2025-11-01,547,123,FPS|Action|First-Person|Singleplayer|Shooter
2025-12-01,586,119,FPS|Action|First-Person|Singleplayer|Shooter
2026-01-01,450,80,FPS|Action|First-Person|Singleplayer|Shooter
2026-02-01,286,58,FPS|Action|First-Person|Singleplayer|Shooter
2026-03-01,367,74,FPS|Action|First-Person|Singleplayer|Shooter
2026-04-01,155,28,FPS|Action|First-Person|Singleplayer|Shooter
