Date,Positive_Reviews,Negative_Reviews,Top_Tags
2019-03-01,9496,1404,Souls-like|Difficult|Action|Singleplayer|Ninja
2019-04-01,4722,540,Souls-like|Difficult|Action|Singleplayer|Ninja
2019-05-01,1176,107,Souls-like|Difficult|Action|Singleplayer|Ninja
2019-06-01,2431,96,Souls-like|Difficult|Action|Singleplayer|Ninja
2019-07-01,2453,94,Souls-like|Difficult|Action|Singleplayer|Ninja
2019-08-01,618,58,Souls-like|Difficult|Action|Singleplayer|Ninja
2019-09-01,400,38,Souls-like|Difficult|Action|Singleplayer|Ninja
2019-10-01,523,31,Souls-like|Difficult|Action|Singleplayer|Ninja
2019-11-01,6965,90,Souls-like|Difficult|Action|Singleplayer|Ninja
2019-12-01,7362,279,Souls-like|Difficult|Action|Singleplayer|Ninja
2020-01-01,5661,255,Souls-like|Difficult|Action|Singleplayer|Ninja
2020-02-01,4347,148,Souls-like|Difficult|Action|Singleplayer|Ninja
2020-03-01,3143,121,Souls-like|Difficult|Action|Singleplayer|Ninja
2020-04-01,4251,252,Souls-like|Difficult|Action|Singleplayer|Ninja
2020-05-01,2481,86,Souls-like|Difficult|Action|Singleplayer|Ninja
2020-06-01,2176,118,Souls-like|Difficult|Action|Singleplayer|Ninja
2020-07-01,3913,228,Souls-like|Difficult|Action|Singleplayer|Ninja
2020-08-01,2354,99,Souls-like|Difficult|Action|Singleplayer|Ninja
2020-09-01,1506,80,Souls-like|Difficult|Action|Singleplayer|Ninja
2020-10-01,1934,70,Souls-like|Difficult|Action|Singleplayer|Ninja
2020-11-01,4016,176,Souls-like|Difficult|Action|Singleplayer|Ninja
2020-12-01,3045,147,Souls-like|Difficult|Action|Singleplayer|Ninja
2021-01-01,2810,117,Souls-like|Difficult|Action|Singleplayer|Ninja
2021-02-01,3516,194,Souls-like|Difficult|Action|Singleplayer|Ninja
2021-03-01,2146,83,Souls-like|Difficult|Action|Singleplayer|Ninja
2021-04-01,1495,78,Souls-like|Difficult|Action|Singleplayer|Ninja
2021-05-01,1446,91,Souls-like|Difficult|Action|Singleplayer|Ninja
2021-06-01,2870,270,Souls-like|Difficult|Action|Singleplayer|Ninja
2021-07-01,5944,434,Souls-like|Difficult|Action|Singleplayer|Ninja
2021-08-01,3759,241,Souls-like|Difficult|Action|Singleplayer|Ninja
2021-09-01,2267,136,Souls-like|Difficult|Action|Singleplayer|Ninja
2021-10-01,1655,80,Souls-like|Difficult|Action|Singleplayer|Ninja
2021-11-01,2253,129,Souls-like|Difficult|Action|Singleplayer|Ninja
2021-12-01,3165,224,Souls-like|Difficult|Action|Singleplayer|Ninja
2022-01-01,4185,307,Souls-like|Difficult|Action|Singleplayer|Ninja
