Date,Positive_Reviews,Negative_Reviews,Top_Tags
2024-02-01,3589,887,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2024-03-01,465,295,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2024-04-01,143,119,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2024-05-01,152,103,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2024-06-01,136,86,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2024-07-01,226,165,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2024-08-01,47,62,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2024-09-01,141,106,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2024-10-01,87,102,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2024-11-01,372,354,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2024-12-01,1104,826,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2025-01-01,391,324,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2025-02-01,155,131,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2025-03-01,113,95,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2025-04-01,85,77,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2025-05-01,47,52,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2025-06-01,69,69,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2025-07-01,189,119,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2025-08-01,109,92,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2025-09-01,126,98,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2025-10-01,179,136,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2025-11-01,61,60,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2025-12-01,115,95,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2026-01-01,101,79,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2026-02-01,68,41,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2026-03-01,75,63,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
2026-04-01,32,14,Capitalism|Online Co-Op|Superhero|Looter Shooter|Third-Person Shooter
