Date,Price
2025-07-02,23999
2025-07-04,13999
2025-07-05,13999
2025-07-07,12999
2025-07-10,12999
2025-07-12,12999
2025-07-14,12999
2025-07-17,12999
2025-07-20,13999
2025-07-22,13999
2025-07-25,13999
2025-07-26,13999
2025-07-28,13999
2025-07-29,13999
2025-07-30,23999
2025-07-31,12999
2025-08-01,12999
2025-08-02,12999
2025-08-03,12999
2025-08-04,12999
2025-08-06,12999
2025-08-08,12999
2025-08-10,13999
2025-08-11,13999
2025-08-12,13999
2025-08-14,12999
2025-08-15,12999
2025-08-16,12999
2025-08-17,12999
2025-08-20,13999
2025-08-23,13999
2025-08-24,13999
2025-08-27,13999
2025-08-28,13999
2025-08-29,13999
2025-08-31,13999
2025-09-02,13999
2025-09-04,13999
2025-09-05,13999
2025-09-06,13999
2025-09-08,13999
2025-09-09,13999
2025-09-10,13999
2025-09-12,13999
2025-09-15,13999
2025-09-16,13999
2025-09-17,11999
2025-09-18,11999
2025-09-19,11999
2025-09-20,11999
2025-09-21,11999
2025-09-22,11999
2025-09-23,11999
2025-09-24,11999
2025-09-25,11999
2025-09-26,12999
2025-09-27,12999
2025-09-28,12499
2025-09-29,12999
2025-10-01,12499
2025-10-02,12499
2025-10-03,12499
2025-10-05,12499
2025-10-06,12499
2025-10-07,12499
2025-10-08,12499
2025-10-10,12499
2025-10-11,12499
2025-10-12,12499
2025-10-14,12499
2025-10-15,12499
2025-10-17,12499
2025-10-18,12499
2025-10-19,12499
2025-10-20,12499
2025-10-21,12499
2025-10-23,12499
2025-10-24,12499
2025-10-25,12499
2025-10-28,12499
2025-10-29,12499
2025-10-30,12499
2025-10-31,11999
2025-11-01,11999
2025-11-03,11999
2025-11-04,11999
2025-11-06,12499
2025-11-07,12499
2025-11-08,12499
2025-11-09,12499
2025-11-11,12499
2025-11-12,12499
2025-11-13,12499
2025-11-14,12499
2025-11-15,12499
2025-11-16,12499
2025-11-17,12499
2025-11-18,12499
2025-11-20,12499
2025-11-21,12499
2025-11-22,12499
2025-11-23,11999
2025-11-24,11999
2025-11-25,11999
2025-11-26,11999
2025-11-27,11999
2025-11-28,11999
2025-11-29,12499
2025-11-30,12499
2025-12-01,11999
2025-12-02,11999
2025-12-03,11999
2025-12-04,11999
2025-12-05,11999
2025-12-06,11999
2025-12-07,11999
2025-12-08,11999
2025-12-09,11999
2025-12-10,11999
2025-12-11,11999
2025-12-12,11999
2025-12-14,11999
2025-12-15,11999
2025-12-16,11999
2025-12-17,11999
2025-12-18,11999
2025-12-19,11999
2025-12-20,11999
2025-12-21,11999
2025-12-22,11999
2025-12-23,11999
2025-12-24,11999
2025-12-25,11999
2025-12-26,11999
2025-12-27,11999
2025-12-28,11999
2025-12-29,11999
2025-12-31,11999
2026-01-01,11999
2026-01-02,11999
2026-01-03,11999
2026-01-04,11999
2026-01-05,11999
2026-01-06,11999
2026-01-07,12249
2026-01-08,12249
2026-01-09,12249
2026-01-10,12249
2026-01-13,12249
2026-01-14,12249
2026-01-15,12249
2026-01-16,11999
2026-01-17,11999
2026-01-18,11999
2026-01-19,11999
2026-01-20,11999
2026-01-22,11999
2026-01-23,12249
2026-01-24,12249
2026-01-25,12249
2026-01-26,12249
2026-01-27,12249
2026-01-28,12249
2026-01-29,12249
2026-01-31,12249
2026-02-02,12799
2026-02-04,12799
2026-02-05,12799
2026-02-06,12799
2026-02-08,12799
2026-02-10,12799
2026-02-12,12799
2026-02-13,12799
2026-02-16,12249
2026-02-18,12249
2026-02-19,12999
2026-02-20,12999
2026-02-21,12999
2026-02-23,12999
2026-02-25,12999
2026-02-28,12999
2026-03-03,12808
2026-03-05,12999
2026-03-08,13499
2026-03-10,13499
2026-03-11,13499
2026-03-12,13499
2026-03-13,12999
2026-03-14,12999
2026-03-17,12999
2026-03-18,12999
2026-03-19,13299
2026-03-20,13299
2026-03-23,13299
2026-03-24,13299
2026-03-25,13299
