Date,Price
2022-11-25,13490
2022-12-09,13490
2022-12-12,13490
2022-12-16,13490
2022-12-19,13490
2022-12-22,13490
2022-12-25,13490
2022-12-28,13490
2022-12-31,13490
2023-01-03,13490
2023-01-06,13990
2023-01-09,13990
2023-01-13,13499
2023-01-16,12990
2023-01-20,12990
2023-01-23,13490
2023-01-27,13490
2023-01-30,13490
2023-02-02,13490
2023-02-06,13490
2023-02-09,12490
2023-02-17,13490
2023-02-21,13490
2023-02-25,13490
2023-03-01,13990
2023-03-05,13490
2023-03-09,13490
2023-03-11,12490
2023-03-14,12490
2023-03-17,12990
2023-03-20,12990
2023-03-23,13990
2023-03-24,13990
2023-03-27,13990
2023-03-30,13990
2023-04-02,13990
2023-04-05,12990
2023-04-08,13999
2023-04-11,13990
2023-04-15,13999
2023-04-18,13990
2023-04-22,13990
2023-04-26,13990
2023-04-30,13990
2023-05-06,13999
2023-05-11,13990
2023-05-15,13989
2023-05-20,13490
2023-05-23,13490
2023-05-27,13490
2023-06-01,13488
2023-06-06,13488
2023-06-11,13790
2023-06-16,13488
2023-06-22,13487
2023-06-27,13487
2023-07-03,13487
2023-07-08,12990
2023-07-15,11990
2023-07-20,13890
2023-07-25,13699
2023-07-30,13989
2023-08-04,13989
2023-08-11,12990
2023-08-16,12990
2023-08-22,12990
2023-08-29,12990
2023-09-05,13480
2023-09-12,13480
2023-09-20,13989
2023-09-27,14249
2023-10-01,13999
2023-10-12,14499
2023-10-14,14149
2023-10-19,13890
2023-10-21,14990
2023-10-22,14990
2023-10-23,14990
2023-10-25,14990
2023-11-02,13990
2023-11-04,14990
2023-11-08,14990
2023-11-12,14990
2023-11-15,14990
2023-11-23,13990
2023-12-03,13990
2023-12-08,13990
2023-12-12,13990
2023-12-16,13990
2023-12-22,13990
2023-12-27,13990
2023-12-31,13990
2024-01-08,14990
2024-01-10,14990
2024-01-14,12990
2024-01-15,12990
2024-01-20,14990
2024-01-26,14990
2024-02-01,14990
2024-02-05,14990
2024-02-10,14990
2024-02-13,14990
2024-02-17,14990
2024-02-24,14990
2024-03-02,14890
2024-03-11,14990
2024-03-23,14990
2024-03-31,14990
2024-04-06,14990
2024-04-11,14990
2024-04-12,14990
2024-04-16,14990
2024-04-20,14990
2024-04-28,14990
2024-05-03,14499
2024-05-08,14499
2024-05-13,14990
2024-05-21,14990
2024-05-29,14990
2024-06-06,15240
2024-06-07,15240
2024-06-12,15240
2024-06-16,15240
2024-06-20,14990
2024-06-23,14990
2024-06-25,14990
